labLocation         ,protectionLevel     ,labName             ,labId               
7 BOWEY CLOSE - AUSTIN SPAIN,9,UNDERBERG AG,60295
82 DEWER CRESCENT - SPRINGFIELD UK,1,THE FENTON COMPANY,60296
66 JEFFERYS GROVE - NASHVILLE FRANCE,8,HARMONY LABORATORIES INC.,60297
78 CONNERS SQUARE - BATON ROUGE SPAIN,5,CARE VETERINARY PHARMACEUTICALS LTD.,60298
20 FRIARS AVENUE - VALLEJO USA,8,LABORATOIRES PHARMACEUTIQUES ARKOPHARMA,60299
45 BRIDAL CRESCENT - PROVO UK,3,ORGANON CANADA LTD LTEE,60300
79 STEEDMAN SQUARE - ALBUQUERQUE GERMANY,7,FABUTAN SUN TAN STUDIOS,60301
94 BEDDALL CLOSE - BOSTON FRANCE,2,E L STICKLEY AND CO LTD.,60302
76 KYDD CRESCENT - OCEANSIDE ISRAEL,8,RECRO GAINESVILLE LLC,60303
85 CALLAHAN PLACE - MIAMI GARDENS USA,1,STERIS CORPORATION  ST LOUIS DIVISION,60304
5 DONALDSON GROVE - TOPEKA SPAIN,8,TOO FACED COSMETICS LLC DIST.,60305
89 LOYD STREET - MCKINNEY GERMANY,6,KLEEN CANADA INC.,60306
71 BEES CLOSE - POMONA UK,1,LIFEFORCE NUTRI-BLENDS CANADA INC.,60307
27 SEELEY CLOSE - CEDAR RAPIDS ISRAEL,8,H S MARKETING LTD.,60308
63 FARQUHAR BUILDINGS - STERLING HEIGHTS FRANCE,8,DAWSON TRADERS LTD.,60309
9 BARTLET CRESCENT - KANSAS CITY FRANCE,4,GREER LABORATORIES INC,60310
97 FLECTHER DRIVE - COSTA MESA UK,4,MALLINCKRODT CANADA ULC,60311
59 BARTLET ROAD - AUSTIN ITALY,5,BAYER CORPORATION,60312
56 BRASSEY GARDENS - KANSAS CITY GERMANY,7,CCA INDUSTRIES INC.,60313
38 BEER DRIVE - OVERLAND PARK FRANCE,4,GROUPE DISSAN INC.,60314
92 JANIS PLACE - GLENDALE ITALY,7,J.C. SANI CARE INC.,60315
30 DEMERY CLOSE - ABILENE ITALY,4,BABSON BROTHERS COMPANY,60316
47 BRENAN DRIVE - VALLEJO USA,7,VALNEVA AUSTRIA GMBH,60317
57 CONNALLY PLACE - MIRAMAR USA,5,EMU MAN PTY LTD.,60318
41 ALLARDYCE PARK - NEW HAVEN ISRAEL,8,NEW ACTION PRODUCTS,60319
2 ELLISS CLOSE - ST PETERSBURG USA,10,DEXTRAN PRODUCTS LTD.,60320
22 HOLSTEN TERRACE - DES MOINES ISRAEL,9,CELGENE INC,60321
54 BURDON STREET - WEST COVINA UK,4,D. CHAN ENTERPRISES,60322
41 SHEY PLACE - GREENSBORO USA,0,WATKINS INCORPORATED,60323
53 PROSER PARK - MURFREESBORO USA,5,ORMOND VETERINARY SUPPLY LTD.,60324
21 LANNON CLOSE - WARREN ISRAEL,8,EQUIPEMENT SANITAIRE CHERBOURG 1977 INC.,60325
85 MOUNTSTEVENS PARK - ANTIOCH FRANCE,10,TUCO PROD CO DIVISION OF UPJOHN CO,60326
48 EMSLEY CRESCENT - EL MONTE ISRAEL,0,NU SKIN CANADA INC.,60327
47 LUTTON CLOSE - AUGUSTA FRANCE,8,LAB. CHIMIC ET BIOLOGIQUE DU QUEBEC LTEE,60328
80 MCCULLOUGH CRESCENT - DAYTON FRANCE,9,BRADCAN CORPORATION,60329
37 CORY DRIVE - SACRAMENTO GERMANY,9,ENDO CANADA INC.,60330
39 GEFFREY LANE - ATHENS ISRAEL,2,METABOLIC TECHNOLOGY INC.,60331
11 CONNORS BUILDINGS - JACKSONVILLE FRANCE,10,HENRY SCHEIN INC.,60332
98 BEEVOR LANE - NORFOLK UK,3,CELL TECH,60333
62 HOLLINSHEAD ROAD - SYRACUSE ISRAEL,5,C & M PHARMACAL CANADA INC.,60334
70 LEWEY GROVE - WEST COVINA ISRAEL,9,DEMOTEX 1986 LIMITEE,60335
73 DYLAN SQUARE - BURBANK USA,3,ROSAIRE BELISLE ET FILS INC.,60336
49 READ PARK - CAMBRIDGE SPAIN,7,MICHAEL KORS BEAUTY DIST.,60337
7 LILLIE ROAD - RANCHO CUCAMONGA FRANCE,3,RORER CANADA INC.,60338
43 BURGHER ESTATE - WORCESTER UK,0,INTEGRITY MARKETING INC.,60339
61 AIRS ROAD - ROCKFORD UK,10,CORONA PRODUCTS COMPANY,60340
100 FERRIES TERRACE - NASHVILLE USA,4,BULLEN CHEMICAL CO,60341
20 CHALLENOR ROAD - RICHMOND GERMANY,2,BEVERLY INTERNATIONAL NUTRITION,60342
38 KENYAN GARDENS - CORPUS CHRISTI GERMANY,8,AGRIMIN LTD,60343
98 GOODALE BUILDINGS - PEORIA UK,9,LAMAS BEAUTY INTERNATIONAL,60344
37 CARTON GARDENS - MODESTO GERMANY,6,AVONDALE (BRINNY) CHEMICAL COMPANY,60345
37 CLAPP GROVE - HUNTSVILLE GERMANY,6,JMSR DISTRIBUTOR CANADA CO LTD,60346
58 DEWER STREET - MIDLAND USA,4,INNOPACK USA INC.,60347
89 DOOLAN LANE - HAYWARD ITALY,8,ADVANCE CHEMICALS LTD.,60348
94 MILLIN STREET - AMARILLO USA,2,JUBILANT DRAXIMAGE INC,60349
75 MOFFETT ROAD - ATHENS GERMANY,9,HERBEX ENRG,60350
95 CAVANAGH PARK - PASADENA ITALY,10,WASIP LTD.,60351
100 KIERAN CLOSE - TORRANCE USA,8,BIG COUNTRY AGRI-FEEDS LTD.,60352
24 SCARFF BUILDINGS - EL MONTE SPAIN,4,DECHRA REGULATORY BV,60353
22 MARSHAL AVENUE - NEW ORLEANS UK,1,MEDICIS PHARMACEUTICAL CORPORATION,60354
98 WHALEN PLACE - MINNEAPOLIS FRANCE,7,BIOSYENT PHARMA INC,60355
49 BRONSON BUILDINGS - MADISON ISRAEL,8,FORT DODGE LABORATORIES,60356
16 BEAR BUILDINGS - ROSEVILLE UK,7,MAKE UP FOR EVER S.A.,60357
34 MCCOLLUM BUILDINGS - STOCKTON FRANCE,10,ALLIANCE CANADA LTD.,60358
83 CARLETON SQUARE - COLUMBUS GERMANY,10,AMERICAN EDWARDS LABORATORIES,60359
13 PEEL CRESCENT - BILLINGS FRANCE,7,FRUIT OF THE EARTH INC,60360
86 BALLEY DRIVE - SIMI VALLEY ITALY,6,FIORE (VICTOR),60361
68 OGILVY TERRACE - STERLING HEIGHTS ITALY,1,DELAVAL INC.,60362
93 RANSON ROAD - WILMINGTON ITALY,10,VENTECH DIAGNOSTICS INC.,60363
21 PHILP CRESCENT - WICHITA ITALY,9,LAWSON HEALTH RESEARCH INSTITUTE,60364
66 PENDRAY LANE - ROCHESTER ITALY,9,CUTICURA LABORATORIES INC.,60365
3 ROWLAND ROAD - AURORA ITALY,6,PVL NUTRIENTS LTD.,60366
87 HEBBARD AVENUE - WICHITA FALLS UK,6,EHN INC.,60367
73 ADKINS DRIVE - PROVIDENCE GERMANY,7,SOMA HEALTH PRODUCTS,60368
3 STILES ESTATE - GRESHAM GERMANY,9,EXZELL PHARMA INC,60369
93 GLIDDEN ROAD - ANN ARBOR ITALY,10,ORCHARD INTERNATIONAL INC,60370
20 MOLLER PARK - DENVER GERMANY,7,ALLERGOLOGISK LAB A/S,60371
42 MORRISSON CRESCENT - LUBBOCK GERMANY,6,CROSS VETPHARM GROUP LTD,60372
75 QUINNE CRESCENT - WICHITA FALLS ISRAEL,2,H & A CARETAKER SUPPLIES (1988) LTD.,60373
70 KALLOWAY ROAD - MCKINNEY UK,3,BIO CARE CLINIC,60374
11 NEEDAM ROAD - FLINT USA,4,CHEMLAB,60375
71 OAKLEY BUILDINGS - ROCHESTER GERMANY,1,LACTAID INC.,60376
32 HOULIHAN LANE - MORENO VALLEY GERMANY,1,ATP BIO ACTIV RESEARCH INC.,60377
66 MACKIE TERRACE - RICHARDSON UK,5,MARITIME CHEMICALS & EQUIPMENT LTD.,60378
22 RAYMAN STREET - OAKLAND ITALY,6,BOEHRINGER INGELHEIM FRANCE,60379
60 MCDOWALL STREET - ORLANDO FRANCE,2,KERR CORPORATION,60380
39 COOKES DRIVE - PALM BAY GERMANY,10,INTEGRAFARM CORP.,60381
96 AHERN BUILDINGS - RICHMOND ITALY,7,MEDCIDE INTERNATIONAL INC.,60382
86 MCGLOUGHLAN LANE - PASADENA FRANCE,5,TRACE MINERALS RESEARCH,60383
21 LUNDIE TERRACE - SAN BUENAVENTURA FRANCE,1,SHUMS ENTERPRISES,60384
24 KER CRESCENT - TORRANCE UK,2,AID-PACK USA,60385
32 BENDAL SQUARE - NORTH LAS VEGAS UK,2,LABORATOIRES CHOISY LTEE,60386
24 HENDRICK ESTATE - PEORIA UK,0,KISS MY FACE LLC,60387
51 STEAD TERRACE - HUNTINGTON BEACH ITALY,0,PRISM CARE CORPORATION,60388
92 BURNETT ESPLANADE - SUNNYVALE GERMANY,6,ODAN LABORATORIES LTD,60389
90 MAYNE LANE - SYRACUSE GERMANY,6,MAKEUP ARTISTRY STORES INC,60390
100 LONGBOTTOM CRESCENT - KILLEEN UK,4,VIVIER CANADA INCORPORATED,60391
5 SERGENT GARDENS - LAKEWOOD GERMANY,3,H.CROCHET DISTRIBUTION INC.,60392
89 LESLIE BUILDINGS - SAN DIEGO USA,2,MEDIC SAVOURE LTD.,60393
85 HAMEL ESPLANADE - COLORADO SPRINGS FRANCE,6,MEDIC LABORATORY LTÉE,60394
6 REDMOND CRESCENT - EL MONTE ISRAEL,10,NORTHWEST SUPPLEMENTS LTD,60395
6 HICKLIN ROAD - WARREN GERMANY,9,MARIO BADESCU SKIN CARE,60396
36 COAK ESTATE - SAN JOSE USA,5,GLEN MARTIN LTD,60397
70 CASELEY GROVE - GILBERT SPAIN,8,687570 ONTARIO LTD.,60398
73 HOOLAHAN PLACE - AMARILLO GERMANY,6,GEA FARM TECHNOLOGIES INC,60399
49 SHIELS ROAD - ONTARIO FRANCE,5,SMITHS MEDICAL CANADA LTD.,60400
27 HOARE PLACE - PROVO ISRAEL,2,COGHLAN'S LTD.,60401
5 HYLANDS ESPLANADE - ELK GROVE UK,1,DYNAMIC NUTRITIONAL LTD,60402
55 MCLAUGHLAN AVENUE - BUFFALO ITALY,7,LABITALY PHARMACEUTICALS INC,60403
42 BARBOUR ROAD - STAMFORD ITALY,6,KNOP LABORATORIES,60404
77 AYRE CLOSE - WORCESTER ISRAEL,6,SEA & SKI INTERNATIONAL,60405
21 MCVEY GROVE - SPOKANE GERMANY,5,AESTUS PHARMACEUTICALS CORP.,60406
10 CORBIT CLOSE - PORTLAND UK,0,KARO ENRG LES COSMETIQUES,60407
2 AFFLECK CRESCENT - CORONA FRANCE,8,STIEFEL CANADA ULC,60408
44 OAKLY CRESCENT - STERLING HEIGHTS USA,4,SCOT CHEMICALS & EQUIPMENT,60409
53 BUCKLY PARK - BUFFALO FRANCE,1,GBH FRAGRANCES CANADA INC.,60410
93 ALLEN LANE - OXNARD UK,10,MONARCH PHARMACEUTICALS IRELAND LIMITED,60411
49 GIVEN GROVE - EL MONTE ISRAEL,5,ARMAND ARMAND BUSSIERES,60412
47 DORMAN PLACE - ALEXANDRIA SPAIN,9,KERASTASE PARIS CANADA,60413
11 SKULLY SQUARE - STERLING HEIGHTS ISRAEL,5,SERVICEMASTER CLEAN,60414
98 PAULEY ROAD - WEST VALLEY CITY FRANCE,6,GLENMARK PHARMACEUTICALS (CANADA) LTD.,60415
46 TAYLER BUILDINGS - LUBBOCK UK,10,MICROBIX BIOSYSTEMS INC,60416
29 RANDEL ROAD - DALY CITY ISRAEL,10,IRON OUT INC. D/B/A SUMMIT BRANDS,60417
63 SCHWARZ ROAD - MADISON USA,0,LABORATOIRE SYMA INC.,60418
32 MELVIN SQUARE - MURFREESBORO ITALY,8,NEWAYS INC.,60419
76 CAUSON ESPLANADE - EL MONTE SPAIN,9,WYETH CONSUMER HEALTHCARE INC.,60420
91 BURCHILL STREET - ANTIOCH ITALY,1,PIRAMAL CRITICAL CARE INC,60421
87 NICOLLS TERRACE - ELK GROVE FRANCE,7,FROMM LABORATOIRIES LTD.,60422
22 ASHLEY TERRACE - SIOUX FALLS USA,5,DENTAL RESOURCES OF CANADA LTD.,60423
97 BARNES GARDENS - SIMI VALLEY ITALY,6,HENKEL,60424
74 LYTTLETON CRESCENT - SAN BUENAVENTURA GERMANY,1,RAINBOW PHARMACEUTICALS INC,60425
79 MONKTON ESTATE - CEDAR RAPIDS USA,8,MANTEK DIVISION OF NCH CANADA INC.,60426
90 BIGNELL PARK - HAYWARD ISRAEL,8,MERRILL HORSE SUPPLIES,60427
87 NISSON LANE - WEST JORDAN ITALY,8,ABBOTT LABORATORIES,60428
91 BARREY ESTATE - CLEVELAND GERMANY,8,MODEC INC.,60429
98 COTTRELL ROAD - MIRAMAR USA,4,CROWN CHEMICAL PRODUCTS INC.,60430
64 CARLTON STREET - BIRMINGHAM FRANCE,2,TIDOL CORPORATION,60431
43 SHERIN GROVE - THORNTON UK,7,WEST PENETONE INC,60432
29 DALLEY PARK - CORPUS CHRISTI SPAIN,6,WING QUON ENTERPRISES LTD.,60433
39 DOWNES ROAD - AURORA ITALY,0,NATURE'S PATH FORMULATIONS,60434
93 SERGANT SQUARE - OMAHA GERMANY,5,HEALTH-TECH INC.,60435
68 BRAY PARK - MIAMI USA,8,UNIQUE CHEMICAL TECHNOLOGIES INC.,60436
33 KEAYS DRIVE - VALLEJO USA,2,ATCO INC.,60437
98 LINN TERRACE - FLINT USA,10,GLENWOOD INC.,60438
36 KRAMER STREET - SALEM GERMANY,3,CRYPTON CARE,60439
82 HARRISSON TERRACE - ARLINGTON UK,5,DR REDDY'S LABORATORIES LTD,60440
16 FANNIN AVENUE - SALT LAKE CITY UK,0,SULTAN DENTAL PRODUCTS,60441
92 PIDGEON PARK - AKRON GERMANY,7,DR. M. MIHIC,60442
95 GALLY AVENUE - JERSEY CITY GERMANY,8,NUTRISTAR HEALTH PRODUCTS (1987) INC.,60443
58 CLOTHIER CRESCENT - LAFAYETTE FRANCE,4,TOTALLINK INTERNATIONAL GROUP,60444
49 BOWMAN ESTATE - ROCHESTER ITALY,5,4EVER FIT,60445
22 GUINEA CLOSE - STAMFORD UK,1,FAMILY 1ST MEDICAL LTD,60446
66 PICARD GARDENS - RENO UK,3,HERBON NATURALS INC.,60447
85 WILFORD PLACE - NEW ORLEANS UK,10,M-CHEM TECHNOLOGIES INC.,60448
2 WAGNER PLACE - LITTLE ROCK UK,8,DSM CATALYTICA PHARMACEUTICALS INC.,60449
40 MCKINNEY LANE - ANAHEIM USA,9,MID-CONTINENT AGRIMARKETING INC.,60450
16 DENNEY BUILDINGS - BOSTON UK,10,CANBIOTECH CONSULTANTS INC.,60451
67 MCCULLY GROVE - SAN BUENAVENTURA SPAIN,2,LES LABORATOIRES SUISSE INC.,60452
33 TOWELL PARK - PALMDALE SPAIN,6,UCB INC,60453
16 LAUNDRY ROAD - HAMPTON USA,8,AYERST LABORATORIES,60454
50 MCCARTHY ESTATE - FORT WAYNE GERMANY,9,H.T.A. RESEARCH LIMITED,60455
80 WEBBS PARK - CHESAPEAKE UK,7,KEMSOL PRODUCTS LTD.,60456
47 DONELLY PLACE - LUBBOCK ITALY,10,AUROBINDO PHARMA LIMITED (UNIT III),60457
16 MCPHEARSON ROAD - SALEM ISRAEL,8,THE HERITAGE STORE INC.,60458
49 MURDOCK CLOSE - DAYTON GERMANY,2,HEALTH PLUS INC.,60459
29 HARISON BUILDINGS - ST LOUIS ITALY,5,MEKOS LABORATORIES APS,60460
12 MAHONY GROVE - MOBILE GERMANY,3,HOLLISTER LIMITED,60461
28 STANLY GARDENS - HONOLULU FRANCE,0,STEPAN COMPANY,60462
14 HOLTEN DRIVE - VANCOUVER ITALY,5,AVANT-GARDE LES SUPPLÉMENTS,60463
19 DAVES BUILDINGS - EVANSVILLE UK,2,RATIOPHARM GMBH,60464
54 RYLETT GROVE - GLENDALE FRANCE,4,EKR THERAPEUTICS INC,60465
25 DAMION ROAD - FONTANA USA,9,BIOKOSMA SA,60466
79 GILLMAN AVENUE - HUNTSVILLE UK,10,HESS & CLARK INC,60467
58 SNOWDEN STREET - WEST JORDAN FRANCE,8,INFUSIUM PROFESSIONAL PRODUCTS,60468
6 RHEA BUILDINGS - PROVO UK,8,CHEMTECH INTERNATIONAL INC.,60469
62 MOORHEAD PLACE - HAYWARD SPAIN,6,MORTER HEALTHSYSTEM,60470
9 BRAINE CLOSE - IRVING GERMANY,0,E.R.I. LABS INC.,60471
29 MOFFATT STREET - HOLLYWOOD SPAIN,3,APM PRODUCTS PTY LTD.,60472
99 HURST PLACE - PASADENA SPAIN,2,TP HEALTH LTD.,60473
57 SHEA TERRACE - OMAHA FRANCE,10,AIR PRODUCTS CANADA LTD/LTÉE.,60474
28 WILMOT ESPLANADE - FORT COLLINS GERMANY,0,NORTHERN NATURALS HEALTH PRODUCTS LTD.,60475
55 HAYWARD LANE - NEW HAVEN ISRAEL,3,SUPPLEMENTS AROMATIK INC.,60476
95 BARK ESTATE - CHULA VISTA USA,5,NORDIC GROUP B.V.,60477
39 LAMBART DRIVE - WICHITA FRANCE,3,TITREX INTERNATIONAL LTEE,60478
95 GARTON PLACE - HONOLULU USA,0,BEARITT INC.,60479
7 CALLAWAY BUILDINGS - HARTFORD USA,8,DELITEK SCS CORP.,60480
40 CAROLE ESTATE - GREEN BAY GERMANY,2,HUNTER AMENITIES INTERNATIONAL LIMITED,60481
31 BRYAN STREET - DAYTON SPAIN,7,ACTICARB INC.,60482
84 CARTON ESPLANADE - HONOLULU ITALY,4,ASSOCIATED NATIONAL BROKERAGE INC.,60483
9 SHAFFER SQUARE - LAS VEGAS UK,8,CARROLL COMPANY,60484
86 RAMSEY STREET - SPOKANE SPAIN,1,TYLSTIN MEDICAL,60485
75 HOAR STREET - SPRINGFIELD FRANCE,9,MARKET-WISE ENTERPRISES LTD.,60486
63 MCINTYRE TERRACE - GRESHAM GERMANY,4,SIGMACON LIFESCIENCES INC,60487
52 LIDDELL CLOSE - YONKERS USA,2,LONZA LLC.,60488
26 MARTELL PARK - DAYTON UK,7,I.W.N. CORPORATION,60489
1 COATES PLACE - SIOUX FALLS FRANCE,9,THE UPJOHN COMPANY OF CANADA,60490
7 VANDYKE LANE - ELGIN USA,0,ROYAL BODYCARE CANADA INC.,60491
6 DREWEATT TERRACE - BILLINGS USA,9,VADEBRO BV,60492
27 CADWELL AVENUE - CHATTANOOGA SPAIN,0,CANADA SUPPLY INC.,60493
57 HAUGH GROVE - TULSA UK,3,AUSCAN IMPORTS,60494
19 NELSON LANE - COLUMBUS FRANCE,6,RACINNE INTERNATIONAL BEAUTY CORPORATION,60495
46 TIMMONS TERRACE - GILBERT ISRAEL,9,UNIPRIX INC.,60496
96 KER BUILDINGS - SACRAMENTO GERMANY,2,FOUNDATION CONSUMER HEALTHCARE LLC,60497
85 PARRIS LANE - WORCESTER FRANCE,5,BRIMMS LABORATORIES,60498
54 DOODY ESPLANADE - MEMPHIS ISRAEL,8,PURE LIFE INTERNATIONAL PRODS INC.,60499
83 KEILY PLACE - ST PAUL SPAIN,4,MIDWAY ADVANCED PRODUCTS LLC,60500
6 SARJEANT PARK - FLINT USA,5,DIALYSIS SOLUTIONS INC.,60501
16 MULHEARN PLACE - HAYWARD ISRAEL,7,RECORDATI RARE DISEASES,60502
3 BRADY GROVE - NEWARK UK,8,WEST CARE MEDICAL LTD.,60503
81 MULLER BUILDINGS - CHULA VISTA GERMANY,3,DIVERSIFIED CHEMICAL TECHNOLOGIES INC.,60504
71 SLONE ESTATE - KANSAS CITY USA,2,SUPERB ENR LES PRODUITS,60505
48 REILLY BUILDINGS - LEXINGTON ISRAEL,10,SCENTSY INC,60506
74 HURT ESPLANADE - BERKELEY FRANCE,0,THOMAS HAIR AND SCALP SPECIALISTS,60507
15 MCGREAL GARDENS - DES MOINES GERMANY,1,ALPHA NUTRITION INC.,60508
94 HUTCHINSON LANE - WICHITA FALLS ITALY,10,PRAXAIR CANADA INC,60509
28 CONLIN DRIVE - AURORA FRANCE,4,LE GROUPE ULTRAPAC,60510
81 BRENNAN STREET - SPRINGFIELD ISRAEL,4,HONEYWELL,60511
19 NEAVES DRIVE - BOULDER ISRAEL,9,NIAGARA PHARMACEUTICALS INC.,60512
51 DEAN GARDENS - EUGENE FRANCE,4,DR. WERNER C. GEHRING,60513
66 LORY BUILDINGS - TOLEDO FRANCE,5,I-MED PHARMA INC.,60514
15 STEED GARDENS - HIALEAH SPAIN,5,DERMALOGIX PARTNERS INC.,60515
92 ALLARDYCE STREET - CAPE CORAL USA,2,VITAL BASICS,60516
59 AFFLECK TERRACE - FORT LAUDERDALE FRANCE,0,WEST AGRO INC.,60517
90 COSSINS TERRACE - KILLEEN SPAIN,10,FULLER BRUSH INDUSTRIAL,60518
98 FREEDMAN AVENUE - FORT WAYNE GERMANY,6,INNOVATECH INC,60519
13 FROSTE AVENUE - CHATTANOOGA USA,9,THE OSHAWA GROUP LIMITED,60520
85 BLACKMORE ESPLANADE - VICTORVILLE GERMANY,9,MERIDIAN MEDICAL TECHNOLOGIES INC.,60521
58 GALBRAITH SQUARE - PROVO ITALY,2,DAWA HCG INC.,60522
59 ALAIN CRESCENT - BEAUMONT USA,7,LABS VALDA,60523
57 RANDAL STREET - RICHARDSON ITALY,0,CAN-VET ANIMAL HEALTH SUPPLIES LTD.,60524
38 BURNEY ROAD - WEST JORDAN ITALY,4,WN PHARMACEUTICALS LTD.,60525
100 ROYALE PARK - PORT ST LUCIE UK,3,NOVARTIS ANIMAL HEALTH CANADA INC,60526
65 HAPGOOD PARK - DALLAS UK,1,CANADA PHARMACAL CO LTD.,60527
38 BERTON GROVE - HAMPTON GERMANY,9,HOUSE OF BAXTER,60528
86 CRADICK STREET - WESTMINSTER ISRAEL,6,ARJO CANADA INC,60529
7 DONOHUE AVENUE - SOUTH BEND ITALY,2,DUPONT MERCK PHARMA INC.,60530
64 EDWARDS DRIVE - JACKSON GERMANY,8,LES INSTRUMENTS MEDICAUX A.B.C. INC.,60531
63 MCNEILLY TERRACE - STAMFORD USA,10,HAEMACURE CORPORATION,60532
46 HITCHIN STREET - AKRON FRANCE,4,CAREFUSION CANADA ULC,60533
8 BARREN LANE - ALLENTOWN ISRAEL,1,MEGA VITAMIN PRODUCTS LTD.,60534
99 HOWEY GROVE - BALTIMORE ITALY,3,CANADIAN SANITATION GROUP,60535
44 LARBY TERRACE - MOBILE ITALY,5,AMAZON TRADING COMPANY,60536
31 DEIGHTON AVENUE - HONOLULU ISRAEL,7,WEDGCO CHEM LTD.,60537
51 BURGIS BUILDINGS - POMONA USA,2,BIOCENTRE,60538
18 BELLAMY STREET - ELK GROVE ISRAEL,1,P-T TECHNOLOGIES INC.,60539
73 AUSTEN ROAD - YONKERS USA,10,SILCOL,60540
84 KERIN SQUARE - WEST VALLEY CITY GERMANY,8,FRASER VALLEY MILK PRODUCERS ASSOC,60541
91 RAY STREET - RIVERSIDE ITALY,8,IMMUNEX CORPORATION,60542
59 WALLEN PLACE - ALLENTOWN FRANCE,7,RMF PHARMA INC.,60543
30 CORNOCK AVENUE - LANSING UK,3,STEPAN CANADA INC,60544
72 LEVIS DRIVE - FRISCO GERMANY,1,LAROSE & FILS LTEE,60545
6 CURRENS ESPLANADE - BELLEVUE FRANCE,2,LES PROD.CHIMIQUES SPECIALISES AA INC.,60546
90 KELLER PARK - SPRINGFIELD ITALY,4,SPA DE SOLEIL,60547
29 SWAN PARK - NASHVILLE ISRAEL,7,MD SKINCARE BY DR. DENNIS GROSS LLC,60548
73 DAILEY GARDENS - NORFOLK USA,0,EXPERIMENTAL AND APPLIED SCIENCES,60549
34 TREMAINE ESTATE - BUFFALO ISRAEL,1,INTERPROVINCIAL CO-OP LTD,60550
42 DENNEY ROAD - DALY CITY UK,1,OPTIKEM INTERNATIONAL INC.,60551
32 SPILLAR ESPLANADE - MURFREESBORO SPAIN,4,BOIRON CANADA INC.,60552
94 GILLARD ROAD - OXNARD ITALY,8,DANNORTH LABORATORIES INC.,60553
79 DORAN CRESCENT - VANCOUVER FRANCE,4,PHARMGATE INC.,60554
25 ROLLAND PARK - GLENDALE SPAIN,0,ARMOUR PHARMACEUTICAL CO.,60555
90 CHAPEL SQUARE - DURHAM USA,7,BEAUTICONTROL INC.,60556
7 WADDLE BUILDINGS - SIOUX FALLS UK,1,CROFT WOODRUFF'S DYNAMIC BLENDS,60557
89 DONAGHY BUILDINGS - ABILENE SPAIN,9,NOVARTIS ANIMAL HEALTH INC.,60558
100 FARNWORTH ESPLANADE - SAN JOSE SPAIN,0,LANE LABS-USA INC.,60559
27 CHARLTON BUILDINGS - SOUTH BEND GERMANY,9,PROVEL DIVISION OF ELI LILLY CANADA INC.,60560
34 BAYLY BUILDINGS - ARLINGTON ISRAEL,6,TRADE TECHNOCRATS LTD.,60561
96 HENDRIX ROAD - LOUISVILLE GERMANY,5,CARDINAUX-MEDICINAT INC.,60562
66 BAILEY GARDENS - JOLIET UK,7,ETHYPHARM INC,60563
32 GOFF TERRACE - PROVO USA,6,PHARMACO CANADA INC.,60564
30 BELAND SQUARE - ARLINGTON USA,1,ALLEN & HANBURYS A GLAXO CANADA LTD. CO.,60565
87 DYMOCK CRESCENT - KILLEEN FRANCE,5,KEFCO INC.,60566
56 ANTHONEY AVENUE - NEW HAVEN ITALY,6,RHÔNE MÉRIEUX INC.,60567
99 DONER DRIVE - PALMDALE GERMANY,5,TENDER CORPORATION,60568
86 MCCULLY BUILDINGS - ARLINGTON SPAIN,4,SOHAN CHEMICALS LTD,60569
97 EVERLY PARK - SCOTTSDALE FRANCE,10,BLISTEX CORPORATION,60570
66 FRANCIS BUILDINGS - LANSING FRANCE,5,RH PHARMACEUTICALS INC.,60571
72 HARNETT ROAD - EVANSVILLE GERMANY,4,KYTHERA BIOPHARMACEUTICALS INC.,60572
25 LARKINS ESTATE - FORT LAUDERDALE FRANCE,7,THE QUIGLEY CORPORATION,60573
73 SIMONE ESPLANADE - PHOENIX GERMANY,0,HOWARD D. KERR,60574
71 BROOKE CRESCENT - OKLAHOMA CITY USA,3,LABS MEREX INC.,60575
2 CLAIRE DRIVE - WINSTON-SALEM USA,2,KEE SUN ENTERPRISES INC.,60576
38 DONNOLLY ROAD - SANTA ROSA ISRAEL,10,KAO GERMANY GMBH,60577
51 LEVIS BUILDINGS - ALBUQUERQUE USA,8,REQUA MANUFACTURING CO. INC.,60578
18 PRICHARD PLACE - LITTLE ROCK UK,2,NORTH AMERICAN INFECTION CONTROL LTD,60579
81 BARRIE CRESCENT - LOUISVILLE FRANCE,8,TETRA BIO-PHARMA INC.,60580
27 BENNET PARK - AKRON ISRAEL,10,WILLIAM MARVY COMPANY INC,60581
32 NOURSE AVENUE - ANCHORAGE USA,2,WECAN SALES LTD,60582
80 QUINTON ESTATE - LOUISVILLE ITALY,8,1644-2675 QUEBEC INC.,60583
11 HARINGTON BUILDINGS - MONTGOMERY USA,0,CHARTWELL INDUSTRIES (CANADA) LTD.,60584
3 SHARP TERRACE - CINCINNATI SPAIN,1,CLARINS CANADA INC,60585
4 GRAY STREET - ROCKFORD SPAIN,4,ENTREPRISES SI-MART INC,60586
11 CAVANAGH PLACE - ANAHEIM ITALY,3,PRODUITS SANI-PLUS LES,60587
74 FRANCK DRIVE - CINCINNATI ITALY,5,WHOLECARE NUTRITIONAL PRODS INC.,60588
52 MEER LANE - ABILENE GERMANY,10,GENERAL HOMEOPATHIC CORPORATION,60589
13 HEMMINGS AVENUE - ELK GROVE ISRAEL,10,CALGON VESTAL LABORATORIES CANADA,60590
54 WOLFORD DRIVE - SPRINGFIELD UK,5,VALPRO INC.,60591
45 TAIT GARDENS - NEW HAVEN SPAIN,6,PRESTIGE BRANDS INC,60592
