medName             ,medType             ,medId               ,quantity            ,factCompany         
EQUATE IBUPROFEN,Analgesics,21061,16333,OSTREM CHEMICAL CO LTD.
DIGESTION,Statins,21062,32901,HUNTER AMENITIES INTERNATIONAL LIMITED
ATOMY BB,Statins,21063,84101,INDUSTRIAL CLEANING PRODUCTS
LOTRIMIN ULTRA,Hormone replacements,21064,30684,WKB MANUFACTURING DIVISION
PUBLIX SUNSCREEN,Hormone replacements,21065,96477,PRO-VET SERVICE SANTE ANIMALE
CHLOR-TRIMETON 12 HOUR,Mood stabilizers,21066,88203,ATCO INC.
RHIZOPUS NIGRICANS,Hormone replacements,21067,5459,THERALAB INC.
BB LIGHT,Oral contraceptives,21068,44196,AUSTIN RESEARCH LABS CORP
SPRINJENE NATURAL,Analgesics,21069,79903,DANA CHEMICALS INC.
NICOMIDE,Antipyretics,21070,90445,LIFEFORCE NUTRI-BLENDS CANADA INC.
CUPCAKE,Statins,21071,17005,AUSTRIA IMPORT WEST LTD.
NEXT COLD AND FLU,Antimalarial,21072,32607,CARE-TECH LABORATORIES INC.
VET ONE,Analgesics,21073,45766,LIFE BREATH HOME CARE SERVICES LTD.
NORTH BURN RELIEF,Stimulants,21074,10555,ALPHA TECH PET INC.
XURIDEN,Hormone replacements,21075,83789,UNICOOP COOPERATIVE AGRICOLE
KANMET 40 (NUMBER 615),Tranquilizers,21076,60751,QUALITY CONTRACT MANUFACTURING
LUMINOUS LIVE AURA CC,Hormone replacements,21077,58486,PROMEDICA LABORATOIRES
NUMBIFY TROPICAL GOLD,Stimulants,21078,24986,PFC FOODS INC.
SILKA,Stimulants,21079,5882,SANFAX INDUSTRIES LTD.
BORAGO NICOTIANA,Mood stabilizers,21080,73334,AERIN BEAUTY DIST.
CORE VALUES TUSSIN DM,Stimulants,21081,26880,PDQ MANUFACTURING
CABAZITAXEL,Antiseptics,21082,97750,JOHNSON & JOHNSON MEDICAL PRODUCTS
MIRTAZAPINE,Mood stabilizers,21083,41923,ADVANCED BIO-TECHNOLOGIES INC
EPANOVA,Antipyretics,21084,7026,LIFIZZ VITAMINS INC.
GOJO ANTIBACTERIAL,Mood stabilizers,21085,20425,SIMPAK
TEARS NATURALE FREE,Stimulants,21086,93518,MEDIHERB INC.
BUTICAPS,Antimalarial,21087,56006,KUTOL PRODUCTS COMPANY INC
TYPHIM VI,Antimalarial,21088,46751,LABORATOIRE LARIMA LTÉE
ROTATEQ,Oral contraceptives,21089,26218,FISKE'S HORSE CARE PRODUCTS LTD
ALOPRIM,Tranquilizers,21090,12089,KRAMER LABORATORIES INC
MATRIX SUPPORT,Mood stabilizers,21091,10397,THE PROACTIV COMPANY LLC
CLINOLIPID 20%,Antibiotics,21092,52638,SHARK PRODUCTS INC.
HICKORY POLLEN MIXTURE,Mood stabilizers,21093,96976,VIVIER MEDICAL INC.
ZEPHREX-D,Antibiotics,21094,50828,PHARMAMAG INC.
KLOR-CON/EF,Antipyretics,21095,93590,STOCK-WELL SUPPLY
BIOFLEXOR,Antimalarial,21096,91753,HEALTH & HOMEOPATHY SHOP
ADENOSINE,Antibiotics,21097,92477,HYSAN CORPORATION
SUFENTANIL CITRATE,Stimulants,21098,62534,SLOAN JANSAN
NICOTIANA E FOL. 6,Antibiotics,21099,99765,ENVIROCARE CORPORATION
HIVES - RASHES,Oral contraceptives,21100,7248,LABS ANGLO FRENCH
SOFT N SURE ANTISEPTIC,Antiseptics,21101,54025,FUTURE FORMULATIONS
FLOVENT DISKUS 250,Antiseptics,21102,65226,CENTURION NUTRITION
CIMETIDINE,Hormone replacements,21103,35173,RANDLE LABS INC.
FOLET DHA,Hormone replacements,21104,76807,NEOTERIC COSMETICS INC.
P-CARE K40,Analgesics,21105,74453,CHAUVIN PHARMACEUTICALS LIMITED
RELAX AM-PM,Stimulants,21106,85220,THEON
CICHORIUM STIBIUM,Mood stabilizers,21107,8153,TP HEALTH LTD.
EMP COLLAGEN BOOST,Tranquilizers,21108,33953,MINNETONKA BRANDS INC.
PROMESCENT,Antipyretics,21109,50678,VADEBRO BV
FRESHORIZE,Antiseptics,21110,81993,PHARMACIA & UPJOHN ANIMAL HEALTH
KIDS THROAT,Stimulants,21111,94957,CANBIOTECH CONSULTANTS INC.
LYCOPODIUM CLAVATUM,Oral contraceptives,21112,59400,CYANAMID CANADA INC.
CIPRO,Stimulants,21113,81215,LABORATOIRE MEGA-FLEX INC.
ENERGY CATALYST,Hormone replacements,21114,41130,MEKOS LABORATORIES APS
WAL-PHED PE,Antimalarial,21115,82003,WINNIPEG REGIONAL HEALTH AUTHORITY
BLEMISH VANISHING,Hormone replacements,21116,4316,LIFE PLUS INTERNATIONAL
TRISENOX,Antiseptics,21117,48027,TELIGENT CANADA INC
BULK-FORMING LAXATIVE,Antiseptics,21118,28518,SEAVAN HEALTH & BEAUTY PARTNERSHIP
TOPCARE LAXATIVE,Oral contraceptives,21119,66599,LABS MEREX INC.
HERCEPTIN,Hormone replacements,21120,64400,UNIFEED
COLONAID,Antimalarial,21121,22690,PLANET BIOTECHNOLOGIES INC.
ALVIMOPAN,Analgesics,21122,95395,DONMAR HEALTH AND BEAUTY PRODUCTS
TREATMENT SET TS330454,Antibiotics,21123,4578,GANZ INC.
WATER CHEMICAL DETOX,Antiseptics,21124,27132,RONA INC.
LICE KIT,Antiseptics,21125,67557,MALLINCKRODT VETERINARY INC.
JAFRA DAILY,Antimalarial,21126,92762,BEEKEEPERS' SUPPLY CO
HIPREX,Analgesics,21127,57927,PIONEER BIOSCIENCES LTD.
SYNAGIS,Hormone replacements,21128,33408,ADVANCED BIO-TECHNOLOGIES INC
STOPAIN CLINICAL,Mood stabilizers,21129,98298,RIKER CANADA INC.
RIBASPHERE,Mood stabilizers,21130,87684,PORTIONPAC CHEMICAL CORP.
TREATMENT SET TS347628,Tranquilizers,21131,82802,NORWICH EATON CANADA INC.
COLD COMPLEX,Stimulants,21132,6508,BELKO CANADA
LODINE XL,Antipyretics,21133,83950,MACO PHARMA
TIZANIDINE HCL,Tranquilizers,21134,48050,NOVADAQ TECHNOLOGIES ULC
GIALAX,Stimulants,21135,12831,GLEN MARTIN LTD
FACOL COLD AND FLU DAY,Stimulants,21136,67008,BONNE BELL OF CANADA LTD.
ELTAMD UV SHIELD,Analgesics,21137,11177,KAL NUTRITIONAL SUPPLEMENTS
FIREBUSH/BURNING BUSH,Hormone replacements,21138,13243,AMOL PHARMA GMBH
TOTAL BODY DETOX,Statins,21139,86639,VIRATEK INC.
FLUENDZ,Stimulants,21140,606,LORNAMEAD BRANDS (CANADA) INC.
MELATONIN FORTE,Antiseptics,21141,76358,ACME-CHASTON INC.
AVEDANA GLYCERIN,Antimalarial,21142,10848,FORMULEX CANADA INC.
SORREL MIXTURE,Antibiotics,21143,31830,HALAN
STUDIO 35 BEAUTY,Antipyretics,21144,72941,QUAD LABORATORIES INC.
DEPO-TESTOSTERONE,Oral contraceptives,21145,13286,INSTITUT ARMAND FRAPPIER
REEF BABIES SPF 50,Statins,21146,49210,BALLARD MEDICAL PRODUCTS
AKUTUR,Mood stabilizers,21147,80832,META PHARMACEUTICALS INC.
METASTRON,Stimulants,21148,76918,LAVO
SASSY STRAWBERRY,Antiseptics,21149,86646,SCOT-TUSSIN PHARMACAL CO INC.
COLYTE,Antimalarial,21150,36580,WEXFORD LABS INC
MUCUS AND COUGH RELIEF,Analgesics,21151,79699,ROYAL BODY CARE INC.
MIRACLE SOS GOLD,Oral contraceptives,21152,49422,RM CHEMICAL INC
GUNA-SINUS NOSE SPRAY,Hormone replacements,21153,99125,NOR VET SALES INC
SCIATIC RESCUE,Mood stabilizers,21154,72025,PHARMACEUTICAL LABORATORIES INC.
SILVER-ZINC THROAT,Antimalarial,21155,90599,KG AGROVET INC.
BABIES R US IBUPROFEN,Mood stabilizers,21156,30863,MISSION PRODUCT HOLDINGS INC
SILVER SULFADIAZINE,Tranquilizers,21157,63571,UNIPRIX INC.
HANDSOAP,Stimulants,21158,21895,VIVA NATURAL SPRING WATER INC.
TRILLIUM,Statins,21159,23412,BEAUTY BIOSCIENCES LLC
PERFOROMIST,Stimulants,21160,6283,UNIQUE CHEMICAL TECHNOLOGIES INC.
TEPADINA,Antimalarial,21161,33499,FRASER VALLEY MILK PRODUCERS ASSOC
WHITE (MEXICAN) DOCK,Tranquilizers,21162,62612,COMBE INCORPORATED
GALENTIC HYDROGEL,Oral contraceptives,21163,43142,GW PHARMA LIMITED
BISMUTH STIBIUM,Analgesics,21164,51962,PREMIER PLUS SUPPLEMENTS INC.
TRIESENCE,Hormone replacements,21165,60668,FRANK T ROSS & SONS LTD.
VOLTAREN,Antipyretics,21166,67435,BODYGLIDE
VICOPROFEN,Mood stabilizers,21167,2487,PHARMACEUTICAL INNOVATIONS INCORPORATED
BADGER DIAPER,Analgesics,21168,69456,LES PRODUITS CHIMIQUES MG
UTA,Analgesics,21169,1889,NYPOWER INDUSTRIES LTD.
MUCOR/ASPERGILLUS,Antimalarial,21170,76957,SCHIPPERS EUROPE BV
MELISSA OFFICINALIS,Oral contraceptives,21171,71610,BIOENERGY INC.
SECRET CLINICAL,Antiseptics,21172,40895,RANIR LLC
APO-HEPAT,Hormone replacements,21173,56716,ACTION SANITATION PRODUCTS
XARELTO,Tranquilizers,21174,95899,SPORT PHARMA USA
DURAGESIC-100,Stimulants,21175,96389,FITNESS QUEST
ESTRONE,Antibiotics,21176,34525,CLONMEL HEALTHCARE LIMITED
VANILLA SILQ,Statins,21177,71799,MARATHON SYSTEMS
DAWNMIST,Antibiotics,21178,43750,MELIAPHARM INC
LIGNOSPAN FORTE,Analgesics,21179,31614,DIAL CANADA INC
GILENYA,Hormone replacements,21180,40337,ACTI-FORM LTD.
TMJ JAW FORMULA,Tranquilizers,21181,31159,SENTRA CHEMICALS INC.
RUSSIAN OLIVE,Antimalarial,21182,50924,BACH LABORATORIES INC.
TRI-NORINYL 28-DAY,Hormone replacements,21183,85593,TENDER CORPORATION
CHENOPODIUM MIXTURE,Oral contraceptives,21184,78547,NATURE'S GATE HERBAL COSMETICS
LATRODECTUS MACTANS,Statins,21185,36221,JD NELSON & ASSOCIATES
ATROVENT,Mood stabilizers,21186,94128,SPA DE SOLEIL
ROBAXIN,Oral contraceptives,21187,11216,MICROBIO SOLUTIONS INC
KOOL COMFORT,Tranquilizers,21188,78820,BOIRON LABORATOIRES
BREAD CRAVINGS,Stimulants,21189,38121,QUEST PRODUCTS INC
CHAVITA 7,Statins,21190,56054,PHARMAX CANADA LTD.
CINVANTI,Tranquilizers,21191,98135,WALA HEILMITTEL GMBH
GRIPPE,Antipyretics,21192,8411,AMWAY OF CANADA LTD.
QUEEN PALM,Hormone replacements,21193,76173,MINNETONKA BRANDS INC.
CITRANATAL RX,Hormone replacements,21194,2798,CPS PRODUCTS CANADA LTD
RHUMATOL,Hormone replacements,21195,78507,RAY IRASTORZA
EXSEL SPORT,Hormone replacements,21196,12498,DECHRA VETERINARY PRODUCTS A/S
AQUACOOL AIR,Statins,21197,62102,ALEXANDRIA INTERNATIONAL INC.
BAPTISIA TINCTORIA 1X,Antiseptics,21198,78839,VIRATEK INC.
RECTASMOOTHE,Tranquilizers,21199,92029,VORTECH PHARMACEUTICALS LTD.
ROCURONIUM BROMIDE,Hormone replacements,21200,72088,PHIBRO ANIMAL HEALTH CORPORATION
AVANT EX,Tranquilizers,21201,41535,LISA HOFFMAN BEAUTY
CONRX SINUS,Hormone replacements,21202,74096,FORT DODGE LABORATORIES
SENNA TIME S,Antimalarial,21203,31963,AGSA DENTAL PRODUCTS
CERTAIN DRI,Hormone replacements,21204,50315,LANCELOT BIOTECH INC.
CIDA-STAT,Oral contraceptives,21205,19048,TEISEN PRODUCTS
DEFERIPRONE,Mood stabilizers,21206,73447,DONNA KARAN COSMETICS DIST.
PAINDEFENSE,Statins,21207,58477,SYSTEM BIOLOGIE AG
HAND SANITIZER WITH VE,Antipyretics,21208,26787,BRIMMS LABORATORIES
IFEX,Statins,21209,99991,ENAMELON INC.
PIMECROLIMUS,Stimulants,21210,56896,ASTRA PHARMACEUTICALS L.P.
GOLDEN SUNSHINE HERBAL,Antipyretics,21211,51909,NUTRIHEALTH PRODUCTS INC.
MELLARIL-S,Antipyretics,21212,69927,LE GROUPE ULTRAPAC
BARYTA CARBONICA 200C,Mood stabilizers,21213,81030,INDEED LABORATORIES INC
SANCUSO,Antibiotics,21214,37349,NATURE'S PEAK 2007 LTD
NAFCILLIN SODIUM,Antiseptics,21215,92764,PROGRESSIVE CUSTOM SOLUTIONS INC.
PREDNISONE,Stimulants,21216,79790,INDUSTRIA FARMACEUTICA SERONO SPA
NATAZIA,Antimalarial,21217,41406,GERI-CARE PHARMACEUTICALS CORP.
MYOSCINT,Antimalarial,21218,54351,ACTAVIS GROUP PTC EHF
VIOLA TRICOLOR,Tranquilizers,21219,96568,ALLIANCE PACKAGING GROUP INC
LILIUM TIGRINUM,Mood stabilizers,21220,4948,VOGEL HEALTH FOODS LTD.
MESENCHYME QUERCUS,Mood stabilizers,21221,34553,BEAUMONT BIO-MED INC.
LEVULAN KERASTICK,Statins,21222,72403,UNCLE LEE'S TEA INC.
IODINE TINCTURE MILD,Antiseptics,21223,76377,PINE GLO PRODUCTS INC.
MEKTOVI,Antimalarial,21224,12642,TRIPOD FAMILY FOOT CARE CENTRES INC.
SURE RESULT SR RELIEF,Tranquilizers,21225,14649,STERIDERM CORPORATION
CHILDRENS CHEWABLES,Antipyretics,21226,99496,AID-PACK USA
NOTUSS,Oral contraceptives,21227,92374,EUROVET ANIMAL HEALTH B.V.
ENVIROTOX,Hormone replacements,21228,67460,LABS SED SPRL
GALLBLADDER DR.,Mood stabilizers,21229,94730,PDH HEALTHCARE LTD.
BLACK OAK,Tranquilizers,21230,85092,ZOONO GROUP LIMITED
DALEKTRO N,Oral contraceptives,21231,90163,KOENDERS WATER SOLUTIONS
MINODYL,Antipyretics,21232,74750,NATURECRAFT LABORATORIES INC.
SIMPLEX JR,Antiseptics,21233,86732,GRAND HEALTH NUTRITION PRODUCTS CO.
ECOLAB HAND SANITIZER,Antibiotics,21234,95813,SCANDIA TRADING LTD.
RUGBY PAIN RELIEVING,Antiseptics,21235,85714,WOODBINE PRODUCTS COMPANY
TENORETIC,Stimulants,21236,68154,JAMP PHARMA CORPORATION
ASSURED NASAL RELIEF,Oral contraceptives,21237,66861,MCBLOOMS
CYMBALTA,Hormone replacements,21238,80313,AMWAY CORP.
PLEO POLY R,Antipyretics,21239,33504,FIRST AID RESEARCH CORPORATION
FLU TONIC,Statins,21240,80181,NATURE REPUBLIC CO LTD.
ACETALDEHYDE,Analgesics,21241,36824,JACQUELINE COCHRAN CANADA PARFUMS
KEPIVANCE,Antiseptics,21242,44744,LAWSON HEALTH RESEARCH INSTITUTE
STALEVO 200,Statins,21243,66003,NU-LIFE NUTRITION LTD.
FLU FIX,Analgesics,21244,41540,DR A C DANIELS COMPANY OF CANADA LIMITED
DURYSTA,Antipyretics,21245,8535,CALCORP 55 ENTERPRISES (CANADA) INC.
KLOROMIN,Hormone replacements,21246,22244,FABERGE OF CANADA
ICATIBANT ACETATE,Mood stabilizers,21247,43917,JACQUELINE COCHRAN CANADA PARFUMS
XIIDRA,Stimulants,21248,1276,NUTRITION & FITNESS INC.
HYDROCORTISONE 1%,Statins,21249,3743,THE CLINIPAD CORPORATION
REGULOID,Statins,21250,65821,WAYMAR PHARMACEUTICALS INC.
D2 ORGAN SUPPORT,Antimalarial,21251,76313,NORTH AMERICAN INFECTION CONTROL LTD
MENSTRUAL CRAMPS BACK,Antipyretics,21252,61191,DAVID D. DANIELS LTD.
GINSENGGO,Oral contraceptives,21253,81599,NATURLAND LTD.
OIL-CONTROL DAY SPF 15,Antibiotics,21254,53490,THE GAP GROUP OF COMPANIES
GLENMAX PEB DM FORTE,Analgesics,21255,22748,NEW IMAGE CANADA INC.
FRESH JUICE C,Tranquilizers,21256,69477,SIGNATURE PRODUCTS
BULLFROG QUIK,Mood stabilizers,21257,43833,MACSIL INC.
FORADIL,Antipyretics,21258,15352,INTELLIPHARMACEUTICS CORP
OXYGEN,Tranquilizers,21259,53361,PHARMACYCLICS INC
MYRBETRIQ,Oral contraceptives,21260,43611,VENUS MULTILIGNE LTD.
PAREMYD,Analgesics,21261,6859,LES IMPORTATIONS QUE-FLOR INC.
OCUDOX,Hormone replacements,21262,44335,KABI PHARMICIA INC.
COUGH AND COLD RELIEF,Stimulants,21263,19006,NEW ROOTS HERBAL INC.
ZINC MET,Analgesics,21264,43549,SANDOZ CANADA INC
MULBERRY SERUM,Antibiotics,21265,93378,R.E.L. PRODUITS SANITAIRES INC.
HEARTBURN RELIEF,Antibiotics,21266,12804,WATERBURY COMPANIES INC.
ASTRAGALUS ARNICA,Antimalarial,21267,20169,INSTITUT ROSELL INC.
WATERBRIGHT RADIATING,Mood stabilizers,21268,20408,ITW DYMON
HALFAN,Antimalarial,21269,33271,THE PACIFIC NORTHWEST HERB CORPORATION
STRING BEAN,Analgesics,21270,38024,PA BENJAMIN MFG CO LTD.
SOLMATE,Tranquilizers,21271,20742,HYDE PHARMACEUTICALS
DORAL,Stimulants,21272,36690,THE RESULTS COMPANY INC
DOVE IS POWDER,Mood stabilizers,21273,19915,CENTRAL SALES LIMITED
JATENZO,Analgesics,21274,39566,DRUG TRADING COMPANY LTD.
PHYTONADIONE,Hormone replacements,21275,34855,PVL NUTRIENTS LTD.
KAPSPARGO SPRINKLE,Antibiotics,21276,96564,SANTEN INCORPORATED
REFRESH P.M.,Oral contraceptives,21277,3382,FLETCHER ENTERPRISES (CHEMICALS) LTD.
SMART SENSE ANTI GAS,Antimalarial,21278,16257,CLEANWAY SUPPLY INC
ORIGINAL HEALING,Oral contraceptives,21279,55879,CARE VETERINARY PHARMACEUTICALS LTD.
SMART SENSE TRIACTING,Mood stabilizers,21280,49533,JOHNSON WAX PROFESSIONAL
ALL DAY ALLERGY RELIEF,Antiseptics,21281,49001,NXCARE INC
HIVE AWAY,Stimulants,21282,3220,GOJO CANADA INC
CIDOFOVIR DIHYDRATE,Hormone replacements,21283,16354,VALEANT CANADA LP/VALEANT CANADA S.E.C.
ZODRYL DEC 30,Statins,21284,14083,BENTEC PHARMA INC
MYRISTICA SEBIFERA,Stimulants,21285,46552,SCHERNAL PHARMAZEUTISCHE PRAPARATE
NATURAL TESTOSTERONE,Antiseptics,21286,43278,VIADENT INC. SUBSID VIPONT LABS INC.
PHYSICIANSCARE ANTACID,Antiseptics,21287,62357,DAWHERBS INCORPORATED
MUCINEX DM,Analgesics,21288,74359,BERNINA BEAUTY PRODUCTS LTD.
NUVIGIL,Antiseptics,21289,79625,RECKITT BENCKISER INC
VITAPED,Tranquilizers,21290,97961,USANA HEALTH SCIENCES INC.
COLOCYNTHIS HOMACCORD,Antiseptics,21291,63649,PRINCESS MARCELLA BORGHESE INC.
LMX5,Mood stabilizers,21292,89118,CLEARLY CANADIAN BEVERAGE CORPORATION
LITHIUM BROMATUM,Oral contraceptives,21293,97122,SCHEIN PHARMACEUTICAL CANADA INC.
VERSION X SCALP TONIC,Stimulants,21294,91831,AGBEL REGISTERED
DG HEALTH SINUS RELIEF,Hormone replacements,21295,8031,MARINO MANUFACTURING
ENBREL,Stimulants,21296,50041,BAUSCH & LOMB PHARMACEUTICALS INC.
EPANED,Stimulants,21297,5464,PHARMACO CANADA INC.
PHARMAX REBUILD,Hormone replacements,21298,22854,MINT PHARMACEUTICALS INC
ARTHRITIS PLUS GEL,Mood stabilizers,21299,83289,FLON LABORATOIRES INC
SENOKOT,Mood stabilizers,21300,71167,MEDTECH LABORATORIES INC.
UNNAPLAST,Hormone replacements,21301,58573,SCANNON
POMADA DE SULFA,Antipyretics,21302,81019,LAB GERNETIC INT LTEE
ISOPROPYL,Analgesics,21303,79723,FOOD-NUTRITION INC.
SLIM CARE,Mood stabilizers,21304,37396,2 EM NATURAL ELEMENTS INC
DAPTACEL,Stimulants,21305,71115,BRENTDALE CHEMICALS
ULTRACARE ALCOHOL FREE,Antipyretics,21306,70154,DOXA INC.
ATROPEN AUTO-INJECTOR,Antibiotics,21307,31738,CHEMCORP INDUSTRIES INC.
ANTISPETIC,Antibiotics,21308,66326,SOLOPAK PHARMACEUTICALS INC.
AURO EARACHE RELIEF,Mood stabilizers,21309,79243,SANTEPLUS LTD.
ANESTHESIA S/I-50,Analgesics,21310,11955,LEE PHARMACEUTICALS INC.
IN-7-ONE,Antiseptics,21311,98234,THE GILLETTE COMPANY
REFRESH PUREBAC FOAM,Statins,21312,31719,QUALI-TECH INC.
RENES CARBO,Antipyretics,21313,60393,ASTA MEDICA AG
OSELTAMIVIR PHOSPHATE,Statins,21314,10601,L OREAL PROFESSIONNEL CANADA
HAIR TREATMENT PREMIUM,Tranquilizers,21315,93460,WM. MCKINNEY & SONS LTD.
HEADACHE RELIEF,Stimulants,21316,82430,ENVIRO SOLUTIONS LTD
ROBAFEN AC,Analgesics,21317,63960,CERAVE CANADA
PAMINE,Statins,21318,89792,RHONE-POULENC PHARMA INC.
GOUT CONTROL,Statins,21319,78911,DELL CHEMICAL AND MARKETING LIMITED
LOSARTAN,Statins,21320,27094,PROBIOTICS INTERNATIONAL LTD.
FEMOGEN,Hormone replacements,21321,46015,INTELAGARD INC
QUIP,Mood stabilizers,21322,28387,ONOX INC.
SUNMARK COLD,Mood stabilizers,21323,22265,LAWSON PRODUCTS INC.
SILKY FINISH,Stimulants,21324,47827,CHUGAI PHARMACEUTICAL CO LTD.
SINUS PE DECONGESTANT,Antipyretics,21325,76117,LES ALIMENTS NUTRI-SOURCE INC.
CANARY GRASS POLLEN,Mood stabilizers,21326,43543,SCA CANADA-NORTH AMERICA INC.
LIDOCAINE HCL 3.88%,Antiseptics,21327,78643,AUSCAN IMPORTS
QUIK SPRAY,Statins,21328,56775,TRANSCHEM INC.
CLEMATIS ERECTA,Statins,21329,3050,WELLSPRING PHARMACEUTICAL CANADA CORP
ALLERCETIN,Hormone replacements,21330,4025,LABORATOIRE HRA PHARMA
ALOE SOCOTRINA,Statins,21331,2070,CROMBIE KENNEDY NASMARK INC.
FISSURE CONTROL,Statins,21332,56948,RJR PHARMA INTERNATIONAL SERVICES INC.
PSORINUM 200C,Antimalarial,21333,44003,HOMEOVIE INC.
HAND SANITIZER 3PK,Hormone replacements,21334,16842,VIADENT INC. SUBSID VIPONT LABS INC.
TRIADINE,Antibiotics,21335,81719,FRAN WILSON CREATIVE COSMETICS
LAGICAM,Antibiotics,21336,47969,LOGAN PHARMACEUTICALS INC.
TREATMENT SET TS344059,Antipyretics,21337,93144,SIGNATURE CLUB A
GNP FIBER THERAPY,Oral contraceptives,21338,29555,MEDI-FLEX INC.
BISACODYL LAXATIVE,Antibiotics,21339,47664,ETHIPHARM INTERNATIONAL
P-CARE K40G,Oral contraceptives,21340,85501,J EDDE LTD.
HABEN HERB,Antibiotics,21341,42641,JOHN O. BUTLER COMPANY
WIPE N GO,Antipyretics,21342,2890,BYLSMA IMPORTS INC
ABREVA,Antiseptics,21343,71198,THEON
OSMOVIST 240,Mood stabilizers,21344,80349,LIFETECH RESOURCES
MENS ROGAINE,Hormone replacements,21345,81678,D & F PHARMA
THALOMID,Antipyretics,21346,5860,WARNER CHILCOTT CANADA CO
LORELCO,Antimalarial,21347,63210,G.K. CHEMICAL SPECIALTIES CO. LTD.
CHERRY COUGH DROPS,Oral contraceptives,21348,77534,LERNAPHARM (LORIS) INC.
HZ,Antiseptics,21349,97232,OPUS PHARMA
7 DAY VAGINAL,Statins,21350,69041,SILCOL
LIVOSTIN,Mood stabilizers,21351,64992,DREW MARINE
AMINOSYN-HBC 7%,Statins,21352,75808,PROFESSIONAL PET PRODUCTS INC.
UNDA 17,Hormone replacements,21353,67514,AYERST VETERINARY LABORATORIES
AVEED,Hormone replacements,21354,4860,NORTHWEST NATURAL PRODUCTS
CVS COLD AND HOT,Analgesics,21355,22740,UP TIME SPORTS NUTRITION MEDICAL IND
REVESTA,Oral contraceptives,21356,12264,INTERCON CHEMICAL COMPANY
PHOMA DESTRUCTIVA,Stimulants,21357,70282,BEAPHAR B.V.
ELITE PAIN RELIEF,Antipyretics,21358,30911,PHARMACIA INC.
CEANOTHUS AMERICANUS,Antiseptics,21359,85648,CONNAUGHT LABORATORIES LTD.
MESALAMINE,Hormone replacements,21360,30388,CANADIAN INDUSTRIAL CHEM LTD.
SCRUB PINE,Tranquilizers,21361,9780,BIOLIGO SA LABORATOIRES
ICS PERFECT FINISH BB,Statins,21362,8587,VITAL BASICS
PURE EYES STERILE EYES,Tranquilizers,21363,93191,SAFETEX PRODUCTS LTD.
SNAIL SKIN BOOSTER,Hormone replacements,21364,43065,VIRO RESEARCH
APIS EX ANIMALE 30,Mood stabilizers,21365,33924,G.T. FRENCH PAPER LIMITED
EDOMETRIOSIS,Antipyretics,21366,91490,APOTHECARY PRODUCTS INC.
QVAR 40,Mood stabilizers,21367,57399,FRASER VALLEY INDUSTRIAL CHEMICALS INC.
CARE ONE MICONAZOLE 7,Antimalarial,21368,33722,BLACKHAWK INDIAN REMEDY CO
OCUMYCIN,Oral contraceptives,21369,32145,THE CLOROX COMPANY OF CANADA LTD
ALLERGIES SOUTHERN US,Analgesics,21370,97623,H2O PLUS LLC
COMPRESSED GAS N.O.S.,Antiseptics,21371,57181,PAULA'S CHOICE LLC
APETYL,Antipyretics,21372,94316,J. STRICKLAND & CO.
KIDS RELIEF ARNICA,Stimulants,21373,39765,EQUIPEMENT SANITAIRE CHERBOURG 1977 INC.
MEDIQUE ALCALAK,Hormone replacements,21374,5138,MEGA HOLDINGS
PVP IODINE PREP PAD,Mood stabilizers,21375,58602,ENVIROCLEANSE LLC
CYSTOGES,Antibiotics,21376,6353,DEERE & COMPANY
SOUND BODY NASAL,Antibiotics,21377,27895,UNITED THERAPEUTICS CORPORATION
ANTISEPTIC RINSE,Stimulants,21378,98129,ADVANTAGE MARKETING ASSOCIATES INC.
PLEO SAN MYC,Tranquilizers,21379,83531,EAST-MAN FEEDS LTD.
MET-TOX,Antiseptics,21380,68517,HSP USA LLC
VENTOLIN,Antimalarial,21381,78525,19486 YUKON INC.
MY WAY,Analgesics,21382,18984,ECOLAB INC
LOSORTAN POTASSIUM,Antipyretics,21383,86838,SEPAX AB
PHENYTOIN,Hormone replacements,21384,48103,DORMER LABORATORIES INC.
TARCEVA,Mood stabilizers,21385,46953,WHM INTERNATIONAL LTD
SANICULA,Mood stabilizers,21386,53419,N.V. PERRICONE LLC
TRIP EASE,Stimulants,21387,75194,ALLERGY LABS. OF CANADA
SELENIUM METALLICUM,Antibiotics,21388,78480,PHARMADEX LABORATORIES INC.
CATAPRES,Oral contraceptives,21389,78572,MOLNLYCKE LTD.
AQUASOL A,Antibiotics,21390,96732,SUPPLEMENTS AROMATIK INC.
BROMOCRIPTINE MESYLATE,Statins,21391,28441,GEBAUER COMPANY
ADULT TUSSIN,Oral contraceptives,21392,93879,KG AGROVET INC.
AEROSPORIN,Antimalarial,21393,909,MCGUFF PHARMACEUTICALS INC
DR SU SECRET PERFUME,Stimulants,21394,57432,HUMN PHARMACEUTICALS INC
DANAZOL,Antiseptics,21395,11165,VITAVIE AU NATUREL-9023-3503 QUEBEC INC.
ROYAL PETROLEUM JELLY,Oral contraceptives,21396,40742,KUUSPORT MANUFACTURING LIMITED
ATOMY TOOTHPASTE,Hormone replacements,21397,55853,PHAINO INTERNATIONAL INC.
INTRALIPID 20%,Antimalarial,21398,78113,SANOFI CANADA INC.
TETRAVISC FORTE,Stimulants,21399,21171,MULTALER & CIE
SOLIRIS,Hormone replacements,21400,25323,SPACE AGE BRANDS
PHENERGAN,Tranquilizers,21401,4763,PROMETIC PHARMA INC.
