virusName           ,virusId             ,sources             ,dangerLevel         
PROCTITIS,80678,IVORY COAST,2
COBRA,80679,TONGA,48
ANTICMOS,80680,LIECHTENSTEIN,69
CONEJO,80681,TRANSNISTRIA,57
CEZI,80682,CAYMAN ISLANDS,39
BEAUPRE,80683,ROMANIA,79
GOTLAND,80684,SAHRAWI ARAB,51
NEOREGELIA,80685,GREENLAND,75
MO�?NHO,80686,GUATEMALA,70
GORDIAN I,80687,BRITISH VIRGIN ISLANDS,73
PHOENIX,80688,CZECH REPUBLIC,31
THIOCOCCUS,80689,NICARAGUA,45
EASTFIELD,80690,TURKS AND CAICOS ISLANDS,54
FIRMEY,80691,MALDIVES,69
RAROBACTER,80692,COOK ISLANDS,16
ZEBRINA,80693,AUSTRALIA,28
HEDYSCEPE,80694,MOZAMBIQUE,30
VANDA,80695,ABKHAZIA,69
SBC,80696,CENTRAL AFRICAN REPUBLIC,19
DEXTERITY,80697,ZAMBIA,11
GACRUX,80698,IVORY COAST,71
SCABIES,80699,CAMBODIA,16
BUSSELL,80700,HONDURAS,34
TRESCO,80701,HAITI,3
FLY,80702,CHAD,24
USEDOM,80703,MALAYSIA,68
TUNGUA,80704,UKRAINE,59
EWINGELLA,80705,LUXEMBOURG,36
LOQUAT,80706,NIGER,81
VASSØY,80707,DOMINICAN REPUBLIC,65
TAENIASIS,80708,PAPUA NEW GUINEA,97
AMORES,80709,MALI,43
CAPRI,80710,MALDIVE ISLANDS,100
AGNOSIA,80711,CROATIA,55
STANDRIG,80712,UGANDA,25
FISHPONDS,80713,ARUBA,54
ALCOHOLISM,80714,CYPRUS,68
CROSSANDRA,80715,ITALY,84
LABURNUM,80716,FINLAND,41
CORN HOLM,80717,LATVIA,2
URSINIA,80718,SOMALILAND,7
CONSOLIDA,80719,MOROCCO,46
DOMITIAN,80720,ZAMBIA,67
RHODOPILA,80721,LIBERIA,64
CHICKENPOX,80722,PALESTINIAN TERRITORIES,9
BARLEITH,80723,GUINEA,65
ANOREXIA,80724,SAINT BARTHELEMY,55
SKÊVOY,80725,SAHRAWI ARAB,11
WEST CAY,80726,EL SALVADOR,66
EDAY,80727,MOROCCO,58
LANGLEY,80728,DOMINICAN REPUBLIC,59
LYE,80729,BRITISH VIRGIN ISLANDS,88
KALA AZAR,80730,AMERICA,55
EXOCHORDA,80731,BRUNEI,81
RHEXIA,80732,SOUTH KOREA,10
MIRROR,80733,INDIA,74
REED GRASS,80734,WALES,67
POI TOI,80735,SAINT VINCENT AND THE GRENADINES,90
DYKE HEAD,80736,SWEDEN,25
MANA,80737,SIERRA LEONE,100
SHARP,80738,LATVIA,72
SILPHIUM,80739,AMERICA,44
TAP MUN,80740,HONG KONG,27
NERINE,80741,BURUNDI,48
SEILAND,80742,SOUTH AFRICA,58
NECKER,80743,HONG KONG,58
BIRCH,80744,UZBEKISTAN,13
EGGPLANT,80745,CAYMAN ISLANDS,40
TONUMEA,80746,NORTHERN MARIANA ISLANDS,26
FÆNØ,80747,CAMEROON,30
SGNBORWEN,80748,AUSTRALIA,81
ASTER,80749,SAINT BARTHELEMY,99
CALLIANDRA,80750,YEMEN,63
ROSE BAY,80751,ZIMBABWE,48
BLUE ACARA,80752,GHANA,98
HAIGH,80753,PAKISTAN,93
ICE PLANT,80754,RWANDA,48
NEILSTON,80755,MARSHALL ISLANDS,78
RUAPUKE,80756,KUWAIT,27
STACHYS,80757,MALTA,80
PAROCHETUS,80758,RWANDA,38
WAKSMANIA,80759,NEPAL,54
NEWSTEAD,80760,ERITREA,20
KRIBBELLA,80761,JAPAN,74
PYROMANIA,80762,PALAU,46
ALISMA,80763,BOSNIA HERZEGOVINA,6
THOLEN,80764,TURKEY,39
ATHYRIUM,80765,ANDORRA,67
MIMOSA,80766,FAROE ISLANDS,47
WALBOTTLE,80767,UKRAINE,32
TY LIWYD,80768,BOSNIA,29
GOMB,80769,PAPUA NEW GUINEA,15
POPPLEWELL,80770,UK,85
LEGIONELLA,80771,LEBANON,21
FOX OAK,80772,MOROCCO,20
LAULEY,80773,KIRIBATI,86
GILBERT,80774,GUATEMALA,82
WALLSGROVE,80775,CYPRUS,98
FORA,80776,CUBA,40
EDGE GREEN,80777,TURKS AND CAICOS ISLANDS,77
HENGOED,80778,GHANA,76
WILLOW OAK,80779,SAMOA,50
WHISTON,80780,C�TE D'IVOIRE,44
PATERSONIA,80781,SURINAME,24
RHOS WEN,80782,JAPAN,11
SWEETLEAF,80783,FRANCE,8
PAGE,80784,NIGERIA,36
ANDALUSIA,80785,MONACO,50
TAI A CHAU,80786,LITHUANIA,26
COLCHICUM,80787,BOLIVIA,49
MYSTIC,80788,IRAQ,59
CLOG PLANT,80789,UZBEKISTAN,98
FERNIGARE,80790,CYPRUS,54
EDGE LANE,80791,ISLE OF MAN,44
CONDUIT,80792,EL SALVADOR,17
KAMENKA,80793,AZERBAIJAN,42
PUGET,80794,SIERRA LEONE,7
ALRAI,80795,WALES,11
BRUNEC,80796,MONTSERRAT,28
CHURCHILL,80797,UKRAINE,46
SH,80798,ANGOLA,97
WOODWARDIA,80799,MONTENEGRO,73
SUNNYSIDE,80800,SAN MARINO,54
V5,80801,AMERICA,52
VDV-853,80802,AMERICA,5
PARK SLIP,80803,PALAU,11
FOUS,80804,LATVIA,23
ANDØY,80805,ANDORRA,87
ARROW ARUM,80806,TUNISIA,46
HORSETAIL,80807,SAINT KITTS AND NEVIS,19
DUFFRYN,80808,BOTSWANA,7
SANVITALIA,80809,NORTHERN MARIANA ISLANDS,62
GOT-YOU,80810,ALGERIA,88
CHICK,80811,BOSNIA,53
BRIERLEY,80812,KENYA,82
DRUMPARK,80813,BENIN,83
AUCHINLEA,80814,MARSHALL ISLANDS,95
YOUTH,80815,EAST TIMOR,84
HUNTLEYA,80816,SAINT BARTHELEMY,27
WAREZ,80817,VIETNAM,17
LOMATIUM,80818,VENEZUELA,44
WEIG,80819,BAHAMAS,34
BACKOPA,80820,BRUNEI,96
PLASSISSA,80821,TURKEY,45
VITILIGO,80822,JERSEY,67
QUADRA,80823,VIETNAM,53
YALE,80824,BERMUDA,56
SHELTON,80825,CEYLON,69
VARIOVORAX,80826,TURKMENISTAN,88
MAPLE,80827,CHAD,24
PEONY,80828,MOLDOVA,34
GRØTØY,80829,AFGHANISTAN,84
LEPTOTHRIX,80830,NIUE,41
MONIKA,80831,FINLAND,70
MERGA,80832,CHRISTMAS ISLAND,65
SCAEVOLA,80833,SVALBARD,80
BRUNSTANE,80834,EQUATORIAL GUINEA,99
HURSTWOOD,80835,REPUBLIC OF IRELAND,3
DELFTIA,80836,MOROCCO,52
CORDLEY,80837,FIJI,78
KADSURA,80838,NORTH KOREA,4
SWINDLE,80839,SURINAME,95
BELLE VUE,80840,CONGO,50
MEXICOA,80841,SOLOMON ISLANDS,28
URUK-HAI,80842,KYRGYZSTAN,42
SUMAC,80843,ANDORRA,24
BROOMSTAIR,80844,VATICAN CITY,95
V801,80845,MALDIVES,65
LINDERA,80846,BOSNIA AND HERZEGOVINA,49
NASH,80847,UNITED STATES OF AMERICA,87
IKEMA,80848,CHRISTMAS ISLAND,10
EPIMETHEUS,80849,GERMANY,10
STYE,80850,BURMA,20
TEXADA,80851,SAINT LUCIA,47
PECAN,80852,FINLAND,67
SPIGELIA,80853,SAINT LUCIA,55
LOLLAND,80854,CYPRUS,92
LINNAEA,80855,ZAMBIA,78
ATLAS,80856,VANUATU,77
PANTOEA,80857,MOLDOVA,54
PITTINGTON,80858,LATVIA,1
SYCAMORE,80859,MALTA,6
MAUD,80860,AMERICAN SAMOA,38
NEWTON,80861,AFGHANISTAN,26
BENOIT,80862,HOLLAND,73
GRATIAN,80863,UNITED STATES VIRGIN ISLANDS,47
SIGNY,80864,PALESTINE,55
SALTERWOOD,80865,UNITED STATES VIRGIN ISLANDS,92
SUBRA,80866,YEMEN,42
LAVENDER,80867,AZERBAIJAN,1
CRABAPPLES,80868,TAJIKISTAN,50
IDLE,80869,BURMA,90
ANCIENT,80870,SCOTLAND,79
PASALIMANI,80871,RWANDA,36
JOHNS,80872,MACEDONIA,34
KERSLAND,80873,NIUE,87
SINDO,80874,ITALY,16
NOMUKA,80875,LITHUANIA,17
WHITE LEE,80876,MALTA,46
ALBUCA,80877,UK,75
BELLWORT,80878,ESTONIA,56
ECBALLIUM,80879,POLAND,91
WORDSWAP,80880,SAHRAWI ARAB,25
NICHOL,80881,SOLOMON ISLANDS,89
CATFISH,80882,PARAGUAY,41
PEROVSKIA,80883,LEBANON,39
MILKWORT,80884,SVALBARD,16
WILSON CAY,80885,SLOVAKIA,58
SHAKE,80886,SUDAN,37
PENZA,80887,UNITED KINGDOM,19
VHP-2,80888,LESOTHO,32
COPPER PIT,80889,THAILAND,77
MEGAMONAS,80890,TOGO,39
ALCYONE,80891,NETHERLANDS ANTILLES,92
ALBIREO,80892,GAMBIA,53
DIPELTA,80893,MAURITIUS,22
PIRUMERI,80894,TONGA,90
HABRANTHUS,80895,FALKLAND ISLANDS,11
HEMATURIA,80896,BHUTAN,34
CRANK HILL,80897,GUINEA-BISSAU,95
MONKWOOD,80898,SAINT MARTIN,75
BATHURST,80899,VATICAN CITY,59
QUISQUALIS,80900,BOSNIA,64
MANSEL,80901,PAPUA NEW GUINEA,94
POPULAR,80902,PERU,39
EMIRAU,80903,AMERICAN SAMOA,56
MANDRAGORA,80904,AUSTRALIA,28
FERNY,80905,ITALY,4
SUICIDE,80906,RWANDA,44
LOFTHOUSE,80907,MONGOLIA,35
AVIOR,80908,GABON,95
LEPER AOD,80909,ISRAEL,55
SENTINEL,80910,EGYPT,23
WILD HORSE,80911,AMERICAN SAMOA,41
ANSER,80912,EIRE,62
PAUROTIS,80913,CROATIA,51
BECKWITH,80914,EQUATORIAL GUINEA,55
FOSTER,80915,NAMIBIA,93
ADLUMIA,80916,PUERTO RICO,56
KESSULAID,80917,DENMARK,35
SCOTTS,80918,MADAGASCAR,73
SHERKIN,80919,LIBERIA,11
PTELEA,80920,CHRISTMAS ISLAND,29
TANHILL,80921,PALESTINIAN TERRITORIES,53
SUNNISIDE,80922,TONGA,55
VEITCHIA,80923,FRENCH POLYNESIA,59
BERRIS,80924,ARGENTINA,17
ABERGWAWR,80925,CHINA,23
H-2,80926,SUDAN,54
CARCINOID,80927,MOZAMBIQUE,23
ENSETE,80928,ANDORRA,42
WARBAH,80929,MAURITIUS,46
BAUERA,80930,INDONESIA,82
OOPHORITIS,80931,SPAIN,24
BRINSLEY,80932,NORWAY,86
ADANSONIA,80933,MALI,22
BONGARDIA,80934,GHANA,99
BEDRA,80935,BARBADOS,67
UNTHANK,80936,UNITED KINGDOM,3
DACTYLIS,80937,VENEZUELA,84
SLIPPER,80938,CONGO,72
PHYGELIUS,80939,NORFOLK ISLAND,52
ROUGH,80940,ALBANIA,34
BEATA,80941,MEXICO,54
EDITHCOLEA,80942,BOTSWANA,92
BULRUSH,80943,ZAMBIA,96
BANEBERRY,80944,CAMBODIA,18
DEICIDE,80945,REPUBLIC OF IRELAND,58
SILICOSIS,80946,CHILE,57
WAKDE,80947,HERZEGOVINA,65
TEREBELLUM,80948,ANGUILLA,31
CWMDOWS,80949,TOGO,67
PULAU ROTI,80950,INDONESIA,68
HERMANNIA,80951,UNITED STATES,73
GLIMS HOLM,80952,TRISTAN DA CUNHA,65
SELENE,80953,MACAU,69
CLARION,80954,BURMA,12
HAYES,80955,SAINT VINCENT AND THE GRENADINES,75
MINTAKA,80956,GABON,66
FEAR,80957,AFGHANISTAN,44
FOGGS,80958,SOLOMON ISLANDS,19
TITFORD,80959,NORTHERN MARIANA ISLANDS,84
RANDOLPH,80960,NORTHERN IRELAND,38
BORKUM,80961,CHINA,45
PEAR,80962,HONG KONG,47
PANDORA,80963,TRINIDAD AND TOBAGO,69
HALIMIUM,80964,SRI LANKA,31
ENCELIA,80965,ICELAND,52
FRIGATE,80966,NORWAY,97
CORONILLA,80967,TOBAGO,74
WARRIOR,80968,LIECHTENSTEIN,54
ALFIRK,80969,ENGLAND,50
POWELL,80970,UK,37
UTSIRA,80971,NIUE,25
MICHIGAN,80972,GRENADA,30
BISHWELL,80973,THAILAND,70
DRABA,80974,SOUTH AFRICA,14
PLANET,80975,TUNISIA,46
LARIBACTER,80976,CAPE VERDE,40
PANDANUS,80977,PALAU,85
ARAUCARIA,80978,ZAMBIA,18
MANOLA,80979,HERZEGOVINA,86
MORINA,80980,ERITREA,30
HETTON,80981,JERSEY,94
SUNDAY-2,80982,IRAN,59
CLOUGH,80983,BAHAMAS,98
THORNLEY,80984,COSTA RICA,87
BOEGA,80985,BOSNIA HERZEGOVINA,4
RUABON,80986,JAPAN,42
STRETTON,80987,SAINT MARTIN,14
STRATIOTES,80988,UNITED STATES OF AMERICA,96
FLAX LILY,80989,PANAMA,20
FARSI,80990,CYPRUS,20
ATHEROMA,80991,KOSOVO,64
PLATY,80992,PUERTO RICO,63
CADDER L,80993,SLOVAKIA,3
CALCUTS,80994,CAYMAN ISLANDS,99
WOODLAND,80995,SIERRA LEONE,36
ERIOSTEMON,80996,SAINT HELENA,1
HEPATITIS,80997,AUSTRALIA,55
ROSEBURIA,80998,OMAN,60
TIBERIUS,80999,CANADA,99
RIBES,81000,USSR,74
PEMBERTON,81001,NIGER,13
CHASES,81002,ZIMBABWE,45
NEWBRIDGE,81003,FAROE ISLANDS,63
MOLDUBEAGH,81004,MYANMAR,87
CROOK,81005,BRUNEI,31
HADEN HILL,81006,MALDIVE ISLANDS,35
WRECK,81007,PALESTINIAN TERRITORIES,26
GENISTA,81008,BERMUDA,51
SWAN,81009,BRUNEI,10
FORD MOSS,81010,ESTONIA,90
OUT STACK,81011,SAMOA,34
PAVELL,81012,POLAND,90
HODROYD,81013,BOSNIA HERZEGOVINA,48
FERN PALM,81014,SCOTLAND,17
FAMD,81015,NORTHERN IRELAND,91
IDF,81016,HAITI,28
ALRISHA,81017,GREECE,86
MISSOURI,81018,QATAR,94
JAVA,81019,INDONESIA,23
MAYAK,81020,LIBYA,1
SCINDAPSUS,81021,GAMBIA,51
MOORLAND,81022,NIUE,76
AZMIDISKE,81023,CYPRUS,11
ROBERTSON,81024,SPAIN,89
HARA,81025,UZBEKISTAN,94
CAMP,81026,SAMOA,47
CLOQUET,81027,UKRAINE,54
ZHUJIAJIAN,81028,AUSTRIA,42
KOIPSI,81029,CYPRUS,70
VAGINITIS,81030,CAMBODIA,20
SHORTHILL,81031,BOTSWANA,72
PRIESTNERS,81032,LATVIA,90
CYPRESS,81033,PITCAIRN ISLANDS,41
LAZARETTO,81034,MALAYSIA,91
DSIBAN,81035,NEPAL,93
UJAE ATOLL,81036,TRANSNISTRIA,88
SWANS,81037,CHRISTMAS ISLAND,77
RUCHBAH,81038,C�TE D'IVOIRE,94
DOLESWOOD,81039,MALAWI,72
GALBA,81040,LITHUANIA,27
MWRWG,81041,UZBEKISTAN,49
STITCH,81042,ANGUILLA,20
MULTI-2,81043,SIERRA LEONE,4
NOLANA,81044,MONACO,25
LOCKES,81045,TUVALU,71
CROUP,81046,EL SALVADOR,70
MONXLA,81047,SLOVENIA,45
PRIORFIELD,81048,MOLDOVA,67
GLACIECOLA,81049,POLAND,67
LIIVAKARI,81050,ALBANIA,94
INGOE C,81051,UK,63
NO-INT,81052,MOLDOVA,33
NIHAL,81053,PERU,78
YANKEE - 2,81054,SAUDI ARABIA,92
MALEPHORA,81055,DENMARK,1
RÉMIRE,81056,VIRGIN ISLANDS,29
ZIGADENUS,81057,CROATIA,96
USSR 3103,81058,USA,84
SMALL 187,81059,MADAGASCAR,51
SICILY,81060,BURMA,74
MOOR LANE,81061,HERZEGOVINA,88
AZORINA,81062,MACEDONIA,97
DRYANDRA,81063,NEPAL,24
DIONAEA,81064,VIRGIN ISLANDS,23
DYELLA,81065,EQUATORIAL GUINEA,87
TYRISAF,81066,SOUTH AFRICA,69
SCOT LANE,81067,ANGUILLA,47
ADULT SMA,81068,YEMEN,31
MENZIESIA,81069,NIGER,54
BUBBLES,81070,KENYA,60
RUSSEL,81071,UZBEKISTAN,5
COELIA,81072,TOBAGO,3
INGLETON,81073,MAURITANIA,72
RALSTONIA,81074,ITALY,91
ANJOUAN,81075,BARBADOS,73
ZENOBIA,81076,SAMOA,23
ALICUDI,81077,ERITREA,53
DAMSAY,81078,LAOS,52
CASINO,81079,PUERTO RICO,96
JUGLANS,81080,USSR,21
SHANAGHY,81081,NETHERLANDS ANTILLES,15
GORWYDD,81082,MOLDOVA,57
CPXK,81083,BOLIVIA,43
ELSECAR,81084,TURKS AND CAICOS ISLANDS,48
GERBERA,81085,SENEGAL,35
INQUILINUS,81086,MACEDONIA,12
SAN DIEGO,81087,NEW CALEDONIA,35
REED,81088,USA,84
RED WALLS,81089,VIRGIN ISLANDS,13
QUEEN LILY,81090,BENIN,65
GESNERIA,81091,UGANDA,44
ELDON,81092,SEYCHELLES,66
MERRY HILL,81093,SAUDI ARABIA,68
ROUND,81094,HAITI,71
HELMCLOUGH,81095,BURUNDI,73
HYLOMECON,81096,ZIMBABWE,17
CEDRUS,81097,EQUATORIAL GUINEA,55
HEDYOTIS,81098,SAINT KITTS AND NEVIS,3
HERO-394,81099,ETHIOPIA,68
DEASKER,81100,NAMIBIA,65
KA?ULA,81101,KUWAIT,71
AMMONIFEX,81102,INDONESIA,49
CLYDESDALE,81103,UK,48
MANIA,81104,COCOS,28
GREEN LANE,81105,ANTIGUA AND BARBUDA,43
CHALAZION,81106,NIUE,70
DRENEC,81107,JAPAN,73
STANHOPEA,81108,SURINAME,76
AGATHIS,81109,IRAQ,58
NEW LESTER,81110,NIGERIA,79
PINGUICULA,81111,FRENCH POLYNESIA,39
CARHOUSE,81112,CHILE,55
DOSE-A,81113,TAJIKISTAN,23
EARNHEART,81114,TURKS AND CAICOS ISLANDS,40
CEFN GOLAN,81115,SAINT BARTHELEMY,94
SEGIN,81116,MALTA,56
UNDRESSED,81117,COMOROS,1
CATHERTON,81118,COSTA RICA,57
GAZANIA,81119,SOMALILAND,98
ASTRAIOS,81120,ZIMBABWE,71
ASIAN PEAR,81121,GUINEA BISSAU,94
BAUHINIA,81122,CAMBODIA,29
RANZANIA,81123,AUSTRALIA,24
VIBURNUM,81124,COLOMBIA,32
LINFIT,81125,SLOVENIA,8
MINI,81126,BAHRAIN,12
OLYBRIUS,81127,NIGER,83
RHAPIS,81128,ISRAEL,62
TRAANISH,81129,SAINT HELENA,39
LITTLE ROE,81130,ITALY,33
TYPHUS,81131,JAMAICA,21
ARTHRITIS,81132,LUXEMBOURG,27
EMPHYSEMA,81133,GUATEMALA,51
ASHWORTH,81134,MALDIVE ISLANDS,45
ANXIETY,81135,DHEKELIA,66
RAOULTELLA,81136,GUINEA-BISSAU,30
LUPINUS,81137,NEW CALEDONIA,65
SPRIGGS,81138,SERBIA,65
GATEWEN,81139,UK,19
DUCHESNEA,81140,GUERNSEY,80
KNOX ATOLL,81141,FIJI,2
BRUNOT,81142,KOSOVO,48
VANNØY,81143,MAYOTTE,2
TUNNEL,81144,SAINT VINCENT AND THE GRENADINES,61
NEW HOUSE,81145,SUDAN,79
ABRUKA,81146,MONACO,64
DIETES,81147,GREECE,20
INCE HALL,81148,HOLLAND,33
WILLOW,81149,HERZEGOVINA,79
DALKEITH,81150,BELIZE,15
MIDDLE,81151,SOUTHERN IRELAND,90
MALEBERRY,81152,SINGAPORE,24
WDEF,81153,VANUATU,11
WENALLT,81154,SWEDEN,42
MATADOUCE,81155,CEYLON,16
PISCES,81156,LIBYA,22
BROADVIEW,81157,ERITREA,20
BLACK FOX,81158,PHILIPPINES,32
IRONBARK,81159,FRENCH POLYNESIA,51
GRASSMOOR,81160,GREECE,43
ROCHER,81161,SAINT VINCENT AND THE GRENADINES,41
AMBRYM,81162,PARAGUAY,65
MIKANIA,81163,COMOROS,90
OLD CROFT,81164,SAMOA,15
INRUD-B,81165,BARBADOS,38
GOODHOPE,81166,GHANA,58
DORYANTHES,81167,MOZAMBIQUE,14
LIDINGO,81168,USA,97
WEST DOG,81169,UNITED ARAB EMIRATES,38
HARTSAY,81170,NEPAL,84
RANGITOTO,81171,GEORGIA,37
ARNEB,81172,NORTH KOREA,62
THE GRANGE,81173,AUSTRIA,55
LITHODORA,81174,PANAMA,84
BEARS BACK,81175,CAMEROON,25
PUBIC LICE,81176,TURKEY,51
PREVOTELLA,81177,BAHRAIN,93
ACHILL,81178,USA,16
PRYOR,81179,NIGER,73
MO-DO-MEIO,81180,TANZANIA,2
ALGIEBA,81181,YEMEN,59
KOLOCEP,81182,NIUE,60
ROOKERY,81183,SOUTHERN IRELAND,96
PLAGUE,81184,NORTH KOREA,30
BAZARUTO,81185,BOTSWANA,65
WIZARD 3.0,81186,COMOROS,98
USSR 492,81187,KYRGYZSTAN,49
ARAURA,81188,MYANMAR,64
FJANDØ,81189,LIECHTENSTEIN,32
WOLINELLA,81190,EQUATORIAL GUINEA,46
BINCHESTER,81191,FRENCH POLYNESIA,4
ITAMARACA,81192,LITHUANIA,74
CALANTHE,81193,MALDIVE ISLANDS,18
ALEURITES,81194,SAN MARINO,67
TEAM,81195,PERU,47
DODO 2456,81196,SVALBARD,89
CHLOASMA,81197,CAMEROON,46
MILLHAYS,81198,SAINT LUCIA,69
TUNICA,81199,JAMAICA,34
KOLMENASVA,81200,EIRE,40
SORBARIA,81201,GUATEMALA,56
PINE,81202,BRUNEI,64
DEAFNESS,81203,SEYCHELLES,4
HARM,81204,SAINT VINCENT AND THE GRENADINES,52
KOH RUSSEI,81205,JAMAICA,19
WHELDALE,81206,BRITISH VIRGIN ISLANDS,7
AQUEDUCT,81207,MONGOLIA,47
BEAURIVAGE,81208,TURKEY,60
KERSE,81209,UZBEKISTAN,35
S�?O BRAS,81210,NAMIBIA,59
KERRERA,81211,JORDAN,89
CONCUSSION,81212,LATVIA,30
AILUK,81213,MAURITANIA,85
CARAGANA,81214,SPAIN,100
WITTYMOOR,81215,CAMEROON,13
MOTU ONE,81216,ANGOLA,78
SALTWELLS,81217,ASCENSION ISLAND,42
CANNA,81218,CENTRAL AFRICAN REPUBLIC,87
HILLHEAD,81219,SAINT LUCIA,100
FOULFORD,81220,CYPRUS,87
AUCHLOLAN,81221,MOROCCO,86
LISTERIA,81222,NETHERLANDS ANTILLES,79
NEWENT,81223,LIBYA,67
RYSSW,81224,SOUTHERN IRELAND,80
BLAGUEGATE,81225,AZERBAIJAN,86
GARTH,81226,CAMBODIA,70
PRESTWICK,81227,SENEGAL,47
AMHERST,81228,VANUATU,55
SCREAM 2,81229,TRINIDAD AND TOBAGO,54
WHITEMOSS,81230,PANAMA,27
BURRA,81231,URUGUAY,25
ONEHALF,81232,FRANCE,51
MAXWELL,81233,BRAZIL,53
CINQUEFOIL,81234,PITCAIRN ISLANDS,45
ASPHYXIA,81235,SERBIA,5
CENTURY,81236,BOSNIA HERZEGOVINA,31
WHIPLASH,81237,NAGORNO-KARABAKH,52
OENOCOCCUS,81238,PUERTO RICO,37
KITA DAITO,81239,SAINT PIERRE AND MIQUELON,67
HEBE,81240,SAINT MARTIN,77
PAPA STOUR,81241,BRUNEI,88
NINE MILE,81242,PITCAIRN ISLANDS,64
LLOYDIA,81243,SINGAPORE,62
PARVIMONAS,81244,BELARUS,55
PANICUM,81245,SUDAN,23
MULTI,81246,LESOTHO,25
SEBATIK,81247,SAINT VINCENT AND THE GRENADINES,18
ELYMUS,81248,SIERRA LEONE,18
STEWARTA,81249,BENIN,8
LYCORIS,81250,WALLIS AND FUTUNA WALLIS AND FUTUNA,33
LEVILINEA,81251,BOSNIA AND HERZEGOVINA,54
ONONIS,81252,UGANDA,18
CAPITAL,81253,SAINT PIERRE AND MIQUELON,83
FIG,81254,GUINEA-BISSAU,28
HACKTIC,81255,INDIA,72
BUXUS,81256,VATICAN CITY,9
SMILACINA,81257,PORTUGAL,96
GREAT WOOD,81258,HUNGARY,57
LUMB LANE,81259,VIETNAM,35
OSBECKIA,81260,SOUTH AFRICA,76
ZUQAR,81261,CUBA,47
EBERTHELLA,81262,RUSSIA,75
HAYES WOOD,81263,BRAZIL,10
ALEXANDER,81264,MALAWI,22
HARTFORD,81265,ALBANIA,39
WAIGEO,81266,MOROCCO,1
CROW TREES,81267,SIERRA LEONE,34
AUCUBA,81268,BAHAMAS,85
AURA,81269,HOLLAND,12
BIRKHILL,81270,LUXEMBOURG,26
CARR HOUSE,81271,CAPE VERDE,63
ECHINOPS,81272,RUSSIA,85
OTTO-415,81273,GUATEMALA,55
RICKETS,81274,FINLAND,40
BLOOD-2,81275,GUERNSEY,58
ERIGERON,81276,EAST TIMOR,31
RUTA,81277,RWANDA,64
TYPO BOOT,81278,VENEZUELA,85
ASPHODEL,81279,SPAIN,11
CYCAD,81280,COMOROS,43
MARPLE,81281,BANGLADESH,73
TRAFALGAR,81282,QATAR,15
IRVINE,81283,LATVIA,48
HORSLEY,81284,ARMENIA,100
RIDINGS,81285,NETHERLANDS,34
GRUNT,81286,BOSNIA AND HERZEGOVINA,53
FENNEL,81287,MAURITANIA,40
YEO,81288,HONDURAS,93
PAKATOA,81289,EIRE,59
VITELLIUS,81290,EL SALVADOR,1
FRACTURES,81291,GREENLAND,58
IXIOLIRION,81292,BENIN,22
NORWOOD,81293,ICELAND,8
FRASER FIR,81294,BOLIVIA,87
SAGO PALM,81295,SOMALIA,30
EMBOTHRIUM,81296,USSR,4
WORCESTER,81297,ROMANIA,27
DEEPFIELDS,81298,ALBANIA,29
DAWLEY,81299,PUERTO RICO,40
BROWNLEES,81300,AMERICAN SAMOA,41
HYBRID,81301,CAMEROON,46
STARKEYA,81302,UNITED STATES,86
DENEB,81303,BULGARIA,33
USSR 257,81304,NAURU,58
WILLIAMSON,81305,KUWAIT,63
LACEYELLA,81306,OMAN,34
ZAVARZINIA,81307,BANGLADESH,18
HAZARD,81308,BELARUS,21
MORRACEIRA,81309,NAGORNO-KARABAKH,97
TURAIS,81310,NEW CALEDONIA,5
SHEEP BANK,81311,VIETNAM,78
EMF,81312,VENEZUELA,61
HANS,81313,COCOS,78
FIBIGIA,81314,MONTSERRAT,28
TAUNGA,81315,ANTIGUA AND BARBUDA,41
LEYCETT,81316,UKRAINE,51
VIENNA/648,81317,UGANDA,49
PUSCHKINIA,81318,MEXICO,78
BEARS RUMP,81319,TOKELAU,74
BRAKE,81320,GEORGIA,32
TAME MILL,81321,SAN MARINO,32
MANOEL,81322,FAROE ISLANDS,62
SOUTH BASS,81323,MONTENEGRO,91
GEOVIBRIO,81324,AFGHANISTAN,48
BRAHEA,81325,POLAND,6
DARKHILL,81326,PALESTINIAN TERRITORIES,30
MAXILLARIA,81327,TURKS AND CAICOS ISLANDS,57
GALICIA,81328,MICRONESIA,36
NAVASSA,81329,KAZAKHSTAN,5
BARTISIDE,81330,HONG KONG,55
CHILOPSIS,81331,TRISTAN DA CUNHA,18
AVERØY,81332,KIRIBATI,89
AQUIMARINA,81333,TUVALU,63
BABACU,81334,ARUBA,81
CARACALLA,81335,NEPAL,86
HATHERTON,81336,CHRISTMAS ISLAND,61
CHUSQUEA,81337,GUINEA BISSAU,21
BATTURE,81338,BAHRAIN,17
CLIVIA,81339,GABON,21
PICEA,81340,KYRGYZSTAN,97
VISINGSO,81341,GUYANA,62
DOGWOOD,81342,ERITREA,71
COTYLEDON,81343,CAMBODIA,1
ELDER,81344,COMOROS,9
WOODSETTON,81345,BULGARIA,72
PHILLYREA,81346,GUYANA,17
PHYSALIS,81347,NORWAY,26
MONO,81348,QATAR,49
JOKER-1602,81349,BAHRAIN,42
FARM,81350,WALES,60
UNION,81351,NETHERLANDS,61
DRUMBOWIE,81352,SAINT HELENA,18
COIBA,81353,JAMAICA,6
NAGS HEAD,81354,ARMENIA,14
GLOBULARIA,81355,MALAWI,49
