Name_Of_Product            ,Product_ID               ,Inventory            ,Importer         
BOTOX COSMETIC,23713,70963,GOLDEN PRIDE/RAWLEIGH
WARTROL,23714,7327,INSTITUT ROSELL INC.
PISTACHIO NUT,23715,58506,SUN SOLUTIONS
CS-OVARY,23716,80218,APOTHECARY PRODUCTS INC.
DAY TIME WITH PE,23717,50528,ARCIDI STRENGTH SYSTEMS
SINUS CONGESTION,23718,22722,MICROBAN PRODUCTS COMPANY
PINCHING AND BITING,23719,37438,SUNFRESH LIMITED
FESOTERODINE FUMARATE,23720,46443,LIFESOURCE NATURAL FOODS LIMITED
END-ITCH FOR ECZEMA,23721,28380,WETCO SANITATION SUPPLY INC.
JUBLIA,23722,58382,MULTI-BLEND LTD.
PAIN RELIEF IBUPROFEN,23723,55655,ULTRABALANCE INC.
SOJOURN,23724,11916,GFS CANADA COMPANY INC
MIGLUSTAT,23725,43872,LANCOME CANADA
UMCKA COLD FLU ORANGE,23726,87648,MCBRAYNE FEED & SUPPLY LTD.
YAZ,23727,25802,RECKITT BENCKISER INC
DILL,23728,77499,MENNEN CANADA INC.
RUFINAMIDE,23729,6629,NECESS-AIR INC.
GOOD SENSE PAIN RELIEF,23730,11689,BOU MATIC LLC
SCOTTS SELECT APF,23731,10045,A&L LABORATORIES INC.
LOLIUM TEMULENTUM,23732,63396,GEA FARM TECHNOLOGIES INC
ANTISEPTIC TOWELETTES,23733,26841,ANTEIS SA
PROTEX OATS,23734,47217,INTERFALK CANADA INC.
MITIGO,23735,46135,SEA-TONE INC.
AGAVE AMERICANA,23736,36997,PATRIOT A DIVISION OF JANSSEN INC
DIABETIGEN,23737,63527,ARC ENTERPRISES LTD.
SNAYTOX HYDROGEL LIP,23738,54830,FRESENIUS USA MANUFACTURING INC
METROLOTION,23739,58190,SAYUKI CUSTOM COSMETICS INC.
UR IN CONTROL,23740,31925,HAWTHORNE PRODUCTS INC.
MINI NICOTINE,23741,13016,SKINCEUTICALS LLC
DILTIAZEM HCL,23742,31277,AGBEL REGISTERED
TOPOSAR,23743,32062,LOUSAL ENTERPRISES INC.
SINUS PRESSURE PAIN,23744,6888,IMMUNO DIAGNOSTIKA GMBH INST HEMODERIVAT
FULVICIN-U/F,23745,81059,SANILAB CANADA INC.
EROS EXTENDED LOVE,23746,45259,DYNAREX CORPORATION
CYCLESSA,23747,86341,ISO-TEX DIAGNOSTICS
SLEEP TIME,23748,27881,PALLADA
CINOBAC,23749,3927,PALISADES PHARMACEUTICALS INC.
BACI-RX,23750,11132,RECOCHEM INC.
EVZIO,23751,35979,BENEFIT COSMETICS LLC
PRAX,23752,35163,2 EM NATURAL ELEMENTS INC
PUMPKIN,23753,97994,HOECHST CANADA (1996) INC.
EXPECTORANT COUGH,23754,62478,BEIERSDORF-JOBST CANADA INC.
JALYN,23755,78248,HANSOL INDUSTRIES INC.
MEXATE,23756,67663,ADAPT PHARMA OPERATIONS LIMITED
CAREONE LANSOPRAZOLE,23757,52673,LERNAPHARM (LORIS) INC.
CHIBROXIN,23758,91375,FINEST HEALTH PRODUCTS
SCOTT,23759,95449,MUELLER SPORTS MEDICINE INC.
LEADER NIGHTTIME COUGH,23760,84832,ZINDA PHARMA LIMITED
3M AVAGARD FOAM,23761,73527,TALLEY ENVIRONMENTAL CARE LTD
COLPREP KIT,23762,38533,CHANEL CANADA  ULC
PROVAL #3,23763,19403,PARFUM INTERNATIONAL
ACNEVIR,23764,28494,SCAT CANADA INC.
INDUSTRIAL SANITIZING,23765,53822,GERBER PRODUCTS COMPANY
BRYONIA ALBA 200C,23766,15463,LABORATOIRE LEO DESILETS M.H. INC
QVAR,23767,93106,ULTRACARE LABORATORIES INC.
READI-CAT 2,23768,5691,ITW DYMON
COPEGUS,23769,12423,JOHN E. SLINGER LTD.
XENICAL,23770,43346,972731 ONTARIO INC.
DST PLUS PAK,23771,88416,PRODUITS SANITAIRES MONTCALM LTEE
EASYDEW EX MINERAL BB,23772,29975,ITW TEXWIPE
ADVATE,23773,81114,VESLON COSMETICS OF CANADA LTD.
CRICKET,23774,12900,BETHANY PRODUCTS INC.
FLANAX NAPROXEN,23775,65410,THE SUNSCREEN STORE INC.
TYMLOS,23776,47025,AMBASSADOR MANUFACTURING INC.
BIO RES Q,23777,76449,JUNO OTC INC
MIOCHOL E,23778,22853,PROLAB HEALTH AND BEAUTY LTD
TOTAL TIN,23779,77968,EASY WAY CLEANING PRODUCTS LIMITED
PYRITHIONE ZINC,23780,23021,VITAL SOLUTIONS LLC
SLEEPTIME,23781,52697,NORFOLK SANITATION SUPPLY
EDEX,23782,82013,RHEMA SPECIALITIES LTD.
QUARTZ 30,23783,83708,TOTAL IMAGE SERVICE
LILIUM TIGRINUM 200C,23784,58909,DOXA INC.
CADUET,23785,11566,THE TRIVITA WAY INTERNATIONAL INC.
COLGATE TOOTHPASTE,23786,81740,HYPRED S.A.
WHITE MULBERRY POLLEN,23787,11261,AFRICAN GOLD LIMITED
AC7,23788,83365,JD CAMPBELL ENTERPRISES
VERATRUM ALBUM 200C,23789,74901,MITCHUM THAYER LTD.
PHYSICIANSCARE ALLERGY,23790,98440,WALLACE CAMERON AND COMPANY LTD.
MEDIQUE DIPHEN,23791,22176,AMANO PIONEER ECLIPSE CORPORATION
DUETACT,23792,87703,VITAPHARM CANADA LTD.
LYSOL HEALTHY TOUCH,23793,13909,UNIQUE FORMULATIONS
ACETYLCHOLINE CHLORIDE,23794,1997,PRESCRIPTIVES CO. DIST.
CONCHAE 5 COMP.,23795,65114,LABS MEREX INC.
RYZODEG 70/30,23796,71259,CHARLOTTE PRODUCTS LIMITED
THYROID TONIC,23797,47715,CAPSUGEL
TOUCHPOINT WIPES,23798,93773,IDELLE LABS LTD
KALI MURIATICUM,23799,65583,PRODUITS MAMECA
ORANGE POLLEN,23800,43174,GULFSTAR CHEMICALS INC.
DAY RELIEF SINUS PE,23801,87644,KC PHARMACEUTICALS INC
DITOPI BODY CLEANSER,23802,68515,NORTHERN LIGHTS FITNESS PRODUCTS INC.
MIXED RAGWEED,23803,12768,GP ASSOCIATES INC.
SILVER MAPLE,23804,13711,J EDDE LTD.
VANDAZOLE,23805,23904,PHARMAXIS LTD
CIRCLE K STOMACH,23806,32039,DACO LABORATORIES LIMITED
CLEOCIN PHOSPHATE,23807,74260,DIVERSIFIED CHEMICAL TECHNOLOGIES INC.
DICLOFENAC POTASSIUM,23808,11067,QWATRO CORPORATION
SU PHEDRINE PE,23809,22663,HOE HIN PAK FAH YEOW MANUFACTORY LTD.
MIXED SHELLFISH,23810,20531,NATIONAL MEDICAL CARE-ERIKA MED PROD DIV
TOPCARE ENEMA,23811,47759,SAPROCHI SA
EPIVIR,23812,93192,BRISTOL-MYERS SQUIBB CANADA
ZEP ASPEN,23813,16348,PURITY PLUS ADVANCED NATURALS
HEPATAMINE,23814,98923,ACI BRANDS INC.
CUPRUM METALLICUM 6C,23815,88298,LABORATOIRE PRO CHEM CANADA INC.
CYRAMZA,23816,21486,ENVIROPRO ALTERNATIVES INC.
SIERRASIL PAIN RELIEF,23817,743,DUCHESNAY INC
SODIUM ACETATE,23818,543,L & S RESEARCH CORPORATION
TOPCARE STOOL SOFTENER,23819,71361,RNI ROYAL NUTRITION INTERNATIONAL INC.
MYCOPHENOLIC ACID,23820,61233,CHEMPRIZE LTD.
MOISTIE FILL PLUS,23821,84410,HETTIGODA INDUSTRIES (PVT) LTD.
HGH COMPLEX,23822,50943,MEDICAL ACTION INDUSTRIES
LACRISERT,23823,87694,XAN CORP.
TRIANEX,23824,76664,NEW LIFE HEALTH PRODS CORP
RHUS TOX. E FOL. 4,23825,46255,ROBERT AND CARRIERE LAB
ALEVE,23826,90755,CONTINENTAL FRAGRANCES LTD.
HEALTHY ACCENTS NASAL,23827,72863,MCP PHARMACEUTICALS LTD.
C-PLUS,23828,70008,PANACEA BIOTEC LIMITED
STAHIST AD,23829,34761,BIOKOSMA SA
GASTROGRAFIN,23830,89380,LACORIUM HEALTH INTERNATIONAL PTY LTD.
CAUSTICUM KIT REFILL,23831,8660,CCA INDUSTRIES INC.
SP6 COMPLETE,23832,80192,MAJESTIC DRUG COMPANY INC.
SILICA,23833,13562,BIOFORCE CANADA INC.
CANDIDA PLUS,23834,51026,NAKA SALES LTD.
ARTHRITIS WITH ALOE,23835,43253,AQUA PLUS DIVISION OF NCH CANADA INC.
BROMO SELTZER,23836,46840,PVL NUTRIENTS LTD.
VECTIBIX,23837,72780,TYCO HEALTHCARE
EQUATE DAYTIME SEVERE,23838,73634,BIOSHINE INDUSTRIES INC.
LEG CRAMPS,23839,47378,ONTARIO MEDICAL OXYGEN SERVICES INC.
CEDAX,23840,54028,TRAVENOL CANADA INC.
WART CONTROL,23841,76604,DELHAR CANADA LTD.
PAINAZOL,23842,51117,STASON PHARMACEUTICALS INC
MOODBRITE,23843,6129,PEDIAVERA INC
DIFFERIN,23844,90253,CENTRE DE SANTÉ MINCEUR
AQUACOOL RED 120,23845,34314,MICRO-SCIENTIFIC LLC
AURUM PRUNUS,23846,2873,SOYAWORLD INC.
PLUM EMERGENCY EYEWASH,23847,28583,ALPHA THERAPEUTIC CORPORATION
DILOTAB II,23848,42931,LABORATOIRE DIAMETISS
NU-DERM PHYSICAL UV,23849,62274,AGILA JAMP CANADA INC
QOLIANA,23850,43372,WELEDA AG HEILMITTELBETRIEBE
LYMPH SPLEEN COMBO,23851,26053,SCA TISSUE NORTH AMERICA
SNIFFLY SPRINKLES,23852,32791,JULIUS SCHMID CANADA LTD.
PLEO CITRO,23853,64832,NKORA PHARMACEUTICALS
PHYLLIS GOLDEN,23854,13970,ENTREPRISES SI-MART INC
STROVITE ONE,23855,63820,BOLTON DENTAL MANUFACTURING INC.
HEMANGEOL,23856,46182,SHEPHERD PHARMACEUTICALS INC.
ASSURED ALOE,23857,64624,NIOXIN RESEARCH LABORATORIES INC.
KETOCONAZOLE,23858,93096,BIOSANA AG
EARSTILL,23859,66609,PHARMAX LIMITED
GLEOSTINE,23860,69720,ULTRATECK LABORATORIES INC.
FIBRO FLEX,23861,89778,CHEMITEX CANADA INC.
BALVERSA,23862,65745,SMITHS MEDICAL ASD INC
LIVALO,23863,74802,AST RESEARCH
MYOVIEW,23864,8360,STASON PHARMACEUTICALS INC
COMPAZINE,23865,71082,JOHNSON & JOHNSON GMBH
HYDROCODONE/APAP,23866,76024,NF FORMULAS INC.
CONSTIPATION CP,23867,20332,TALECRIS BIOTHERAPEUTICS INC
CARAC,23868,57062,JESSARD HOLDINGS LTD.
CYCLOPENTOLATE,23869,29890,PROFESSIONAL VETERINARY LABORATORIES
BEPOTASTINE BESILATE,23870,66459,NATUREWORKS INC. (DR PETER THEISS)
RITE AID TUGABOOS,23871,68178,WESLEY-JESSEN CORP
CLERIAN H,23872,42945,VIVIER CANADA INCORPORATED
NYAMYC,23873,44392,P ET P DISTRIBUTION
RI MOX,23874,21505,INTERCEPT PHARMACEUTICALS INC
MYCOBACTIN S,23875,20874,EVONIK STOCKHAUSEN INC
E-MYCIN,23876,99761,PREFERRED DISTRIBUTORS INC.
DIGICLEAN E,23877,59233,THE SUNSCREEN STORE INC.
IDAMYCIN PFS,23878,98909,ARGONAL SOCIÉTÉ EN COMMANDITE
10 TREE MIX,23879,72903,VORWERK & SOHN GMBH & CO. KG
OHM-DAM,23880,8496,WHARTON INNOVATIVE PRODUCTS LLC
RANEXA,23881,60909,PRESTIGE PHARMA INC
CARIMUNE,23882,4678,LABS BIOTHERAX LABORATOIRES
ANTICAVITY FLUORIDE,23883,94538,ATLAS LABS CO LTD.
ALFERON N INJECTION,23884,58715,PRODUITS MAMECA
HYDRO 35,23885,41558,PARKSIDE PROFESSIONAL PRODUCTS LTD
BURROBRUSH POLLEN,23886,66455,ENVIROCLEANSE LLC
THERAGESIC PLUS,23887,861,COSMEDICINE COMPANIES INCORPORATED
SP1 FORMULA,23888,44324,CORETEX PRODUCTS INC.
COCKROACH GERMAN,23889,6614,REFCO INDUSTRIES LTD.
DARK FOUNDATION SPF 15,23890,32030,NORDIC GROUP B.V.
SOLIDAGO,23891,18488,GLORY KINGDOM CANADA INC
DIOVAN HCT,23892,13852,GAHLER ENTERPRISES LTD.
OFLOXACIN OTIC,23893,64620,AMADA TECHNOLOGIES INC.
FOAMCOAT ANTACID,23894,30,NOVARTIS CONSUMER HEALTH CANADA INC.
PRIMULA SCILLA,23895,12099,CV TECHNOLOGIES INC.
CLEOCIN HYDROCHLORIDE,23896,21187,KENDO HOLDINGS INC
CONTROL REMEDY NO. 17,23897,83150,PRAXAIR CANADA INC
AN-DTPA,23898,34527,HANSOL INDUSTRIES INC.
IOPE SUPER VITAL,23899,62534,INTRACARE BV
MEGATOPE,23900,89083,LABORATOIRE HRA PHARMA
ELTA MD UV AERO,23901,48647,SOLARTEC RESEARCH CORPORATION
MULBERRY TONER,23902,93058,WAVE ENERGY SYSTEMS INC.
LAMISIL,23903,34956,MICHAEL'S EQUIPMENT (OTTAWA) LTD.
YELLOW SWEET CLOVER,23904,50720,RMF PHARMA INC.
GRIFULVIN V,23905,50030,LES PRODUITS CHIMIQUES MG
LUNG REMEDY PHASE 3,23906,3621,DAWHERBS INCORPORATED
ADVIL COLD AND SINUS,23907,44977,NEOSOL ENRG
ESOTERICA,23908,49445,GARDO LABORATORIES INC.
IRISH SPRING,23909,41397,PEPCHEM INC.
NOSTALGIA,23910,22402,SIGNATURE CLUB A
CHANTIX,23911,42515,3M COMPANY-BS & CP DIVISION
REEF SAFE SPF 30,23912,48035,BODY KONTROL INVESTMENT LTD.
UP AND UP MUCUS RELIEF,23913,94979,SOLAR COSMETIC LABS INC.
SIRPA 40 (NUMBER 76),23914,1547,BIOMARIN INTERNATIONAL LIMITED
PULSATILLA NUTTALLIANA,23915,8393,LABCO LTD.
LE VITAL MIDNIGHT RUSH,23916,58530,MVP LABS
BORN HAIR,23917,65927,CENT-WELD EQUIPMENT LTD.
MEDIQUE BACK PAIN OFF,23918,35367,WEIDER HEALTH PRODUCTS
PHENADOZ,23919,96310,ACRAF S.P.A
ERADIKATE FACIAL MASK,23920,67402,THIERRY MUGLER PARFUMS
TURBO ARNICA,23921,66363,LUPIN LIMITED
BURR OAK,23922,92239,BIOCODEX SA
COOL MINT LIP BALM,23923,73338,THE RESULTS COMPANY INC
BABYGANICS ECZEMA,23924,39755,GAMBRO INC
PACIFIC,23925,4768,RELIABLE MAINTENANCE PRODUCTS LTD.
DIFLUCAN,23926,88961,ANDERSON CHEMICAL COMPANY
WATERCRESS,23927,70836,SEARCHLIGHT PHARMA INC
FENTANYL BUCCAL,23928,45753,ALPINE SPECIALTY CHEMICALS LTD
LEDUM PALUSTRE 30C,23929,44136,FERROSAN A/S
ACADEMY SPORT SPF 30,23930,90272,SQUIRE LABS INC.
ADVIL ALLERGY SINUS,23931,15370,NION CORP
CECLOR CD,23932,44758,CAREFUSION CANADA ULC
SINUTONE,23933,66320,ASHLEY DOWNS PHARMACEUTICAL
SULFAMETHOPRIM-DS,23934,49510,NUTRITION CLUB CANADA
VARICOSE VEINS,23935,3246,DRM INC.
TETRACYN,23936,20568,SCHULKE & MAYR G.M.B.H.
EMOTIONAL BALANCE,23937,2794,PIERREL PHARMA S.R.L.
TLB-MATRIX,23938,76489,MP ACQUISITION LLC DBA MOPEC
CINNABAR COMP.,23939,81116,BERNA BIOTECH LTD
WRINKLE CONTROL,23940,63265,MARCEL DE SÈVRES (LES COSMÉTIQUES)
VIRAZOLE,23941,26098,ROI MARKETING
HALLSSUGAR FREE EXTRA,23942,85928,CARDINAL HEALTH INC.
ALISKIREN HEMIFUMARATE,23943,58156,PROLAV INC.
SEMPREX,23944,75340,MULTIMIST
FOREST FRESH,23945,70454,KING RESEARCH INC.
INTEGRA F,23946,25550,MONT BLANC HERBORISTE
UNI-DUR,23947,85423,KONSYL PHARMACEUTICALS INC.
ISOLYTE S,23948,55801,CANPHARM INC.
CALMAFX,23949,76332,CHEMEX CANADA
SUTENT,23950,88985,BODY LIFE HEALTH AND TANNING INC
UNDA 240,23951,2046,GREENHEALTH INC.
KIDNEX,23952,60930,ENDO CANADA INC.
QUILLICHEW ER,23953,21032,CHANGES INTERNATIONAL-CANADIAN ADDRESS
BROMDAY,23954,35260,LAND ART INC.
FML-S,23955,22597,PRODUITS CHIMIQUES DESMARAIS INC. (LES)
BABY ESSENCE,23956,25394,HI-GA HEALTH INC.
SULFATRIM-DS,23957,94063,ABUNDANCE NATURALLY LTD
POLY-TUSSIN,23958,44751,PRODUITS ALOEX LTEE
ULTRAGRIS-330,23959,79279,UNITED BAKERS CORP
DAPSONE,23960,7758,THE DAILY WELLNESS CO.
ORNIDYL,23961,33198,MEDSEP CORPORATION A SUBS.OF PALL CORP.
DELAXIN,23962,37632,SHULCON INDUSTRIES INC.
SPARKLEFRESH,23963,79942,NUTRIMMUNE TECHNOLOGIES INCORPORATED
MICONAZOLE 3,23964,65391,KERN PHARMA GMBH
ORBIVAN,23965,36832,ORIMED PHARMA INC
QUADRAMET,23966,2975,CARDINAL HEALTH 200 INC.
GRANISOL,23967,49922,SEBASTIAN INTERNATIONAL INC.
SCIATIC AIDE,23968,85245,ENVIROPRO ALTERNATIVES INC.
NEURALGO RHEUM,23969,94470,INGRAM AND BELL INC.
LEADER MEDICATED PADS,23970,31091,EHN INC.
OCUSULF-30,23971,81947,MERCK SHARP & DOHME (UK) LTD.
DMT SUIK,23972,86254,SPAD (LES LABORATOIRES)
SPEED STICK,23973,30902,PRITCHARD DISTRIBUTORS LTD.
SEDALIA,23974,52701,CENTURION NUTRITION
PERTZYE,23975,68668,SAMSON PRODUITS SANITAIRES
PULLULARIA PULLULANS,23976,8345,PRODUCT EXCELLENCE INC.
OPSUMIT,23977,66086,NODEN PHARMA DAC
FERNISONE,23978,37120,CLARINS CANADA INC
GIAPREZA,23979,59659,LABORATOIRES DERMO-COSMETIK INC
XOFIGO,23980,40359,CARIBBEAN BREEZE INTERNATIONAL INC.
AMMONIUM LACTATE,23981,74206,PARFUMS ALYSSA ASHLEY INC.
PROAIR,23982,17576,MARION MERRELL DOW (CANADA) INC.
MOISTIE CELL PLUS,23983,68856,BOEHRINGER MANNHEIM (CANADA) LTEE/LTD.
ECONAZOLE NITRATE,23984,68661,XEDITON PHARMACEUTICALS INC
HOLIDAY ELEGANCE,23985,88229,CH2O INC
IMITREX STATDOSE,23986,58861,HUMPHREY SANITATION SUPPLIES LTD.
PURE GEL,23987,48004,SANOFI-AVENTIS CANADA INC
NICORETTE (MINT),23988,74800,CORPORATE MANAGEMENT RESOURCES INC.
MEDPURINE,23989,77579,FOR MOR INTERNATIONAL INC.
NIX,23990,24216,NATURAL ORGANICS INC.
OILY HAIR DANDRUFF,23991,51675,DR A C DANIELS COMPANY OF CANADA LIMITED
LIP BALM SPF 15,23992,23370,SERVI-VET INC.
TOPICAINE 5,23993,76752,ADVERTISING UNLIMITED INC. (A.U.I.)
PRIME PLUS,23994,99728,LACORIUM HEALTH INTERNATIONAL PTY LTD.
PATCH,23995,94701,CLEANWELL LLC
QUIK WIPES,23996,73502,DR A C DANIELS COMPANY OF CANADA LIMITED
NOXICARE,23997,49274,PROVEL DIVISION OF ELI LILLY CANADA INC.
LYM D,23998,98148,DENTSPLY PROFESSIONAL
SUNSCREEN SPORT LIP,23999,57593,SYSTEM PHARMACEUTICAL
COMFORT AND EASE,24000,73318,ULTRA LIFE INC.
LIDOCAINE 4%,24001,98092,L.P. TANGUAY LTEE
VIROPTIC,24002,34159,PERIDOT MEDICAL INC
JUGLANS REGIA,24003,56245,LABORATOIRES THEA
OLP CLOTRIMAZOLE,24004,97326,BECTON DICKINSON CANADA INC.
NITETIME DAYTIME,24005,88969,BIOTECH HOLDINGS LTD.
PLEO SAN PSEU,24006,28694,S.A.F. NUTRITIONAL PRODUCTS INC.
VELTIN,24007,48788,BEAUTY COUNSELORS OF CANADA INC.
MENTAX-TC,24008,2829,SHISEIDO AMERICA INC
TRAUMA RELIEF GEL,24009,66965,BOYD PHARMACEUTICALS INC.
SUN BLOCK,24010,11526,ICN CANADA LTD.
APLISOL,24011,66872,LAFAYETTE PHARMACEUTICALS INC.
DIAZEPAM INTENSOL,24012,42906,EMERGENT BIOSOLUTIONS BERNA GMBH
CO-GESIC,24013,18353,SANDOZ CANADA INCORPORATED
VISCUM PINI 1MG,24014,52152,VETOQUINOL N A INC
POLOCAINE-MPF,24015,64380,EMRN OXYGÈNE
HYSAN HUA TUO HUO LU,24016,56467,THE ARMOR ALL/STP PRODUCTS COMPANY
PROVODINE,24017,8913,THEON
TESTAGEN,24018,15184,MEDINEX LTEE
ARNICA 6C,24019,90949,BEUTLICH L.P.
MERIDIA,24020,3712,NUTRALIFE HEALTH PRODUCTS LTD.
ALLERGY RESCUE 1,24021,15217,HRA PHARMA RARE DISEASES
BRONCHITONE,24022,43735,FRESENIUS KABI AB
LOCHOLEST,24023,81849,LILO PRODUCTS
JARIN 40 (NUMBER 571),24024,9225,RATITE PRODUCTS CANADA
FENSOLVI,24025,94438,SHISEIDO AMERICAS CORPORATION DIST
ROBAFEN COUGH,24026,13805,TRAFALGAR INDUSTRIES OF CANADA LTD.
ASPERGILLUS NIGER,24027,30232,GRAND HEALTH NUTRITION PRODUCTS CO.
DOLOBID,24028,50866,MULTI-CLEAN
ATORAK AMPOULE,24029,31095,PRO TERRA GROUP
CODFISH,24030,52849,GEN DRUG COMPANY LTD.
NEUROSPORA SITOPHILA,24031,66430,BETA BRANDS LIMITED
NITROFURAZONE,24032,35900,MICROBIO SOLUTIONS INC
TOOTHPOWDER,24033,14073,NIOXIN RESEARCH LABORATORIES INC.
SUNMARK MUSCLE RUB,24034,67676,MORE DIRECT HEALTH PRODUCTS
ELTAMD UV SPORT,24035,2497,ALLERGAN PHARMA CO.
TRAUMEEL,24036,44815,AMO CANADA COMPANY
KANAMYCIN SULFATE,24037,67350,CATHERINE ATZEN INC.
TREATMENT SET TS349779,24038,19302,STRATEGIC HEALTH PRODUCTS INC.
EMETROL CHERRY,24039,87952,INSTRUMED SURGICAL
BORTEZOMIB,24040,28576,CALIFORNIA NORTH
CEFTRIAXONE SODIUM,24041,93969,SCHERING-PLOUGH CANADA INC
UP AND UP SINUS PE,24042,13065,EVOLUS INCORPORATED
ACUNOL,24043,48960,GUARDIAN CHEMICALS INC.
EQUATE ITCHY EYE,24044,28375,HOECHST CANADA (1996) INC.
SYNDROS,24045,72533,COLORADO BIOLABS INC.
ENALAPRIL MALEATE,24046,93783,AMSCO CANADA INC.
BLACK WALNUT,24047,10755,L.P. TANGUAY LTEE
SABAL SERRULATA,24048,71712,RADIOL CHEMICALS LTD.
IODINE BUSH POLLEN,24049,6316,SOLGAR VITAMIN AND HERB
MICRAININ,24050,27304,RAY IRASTORZA
LOXITANE C,24051,77191,LABORATOIRES DELON (1990) INC
PANRETIN,24052,70358,SMITHERS-OASIS COMPANY
BALAHIST,24053,12761,ITW TEXWIPE
ZOONO HAND SANITIZER,24054,87168,RHOXALPHARMA INC
RETAVASE,24055,33876,TETRA WERKE DR ULRICH BAENSCH GMBH
BP GEL 5.5%,24056,27273,XEDITON PHARMACEUTICALS INC
BLACK SUEDE,24057,19751,VITAMIN WAREHOUSE
NIGROSPORA,24058,46979,SLUYTER COMPANY LTD.
STIMULANT LAXATIVE,24059,38959,PITTSBURGH PLASTICS MANUFACTURING
APADAZ,24060,5512,BODYCARE AUSTRALIAN TEA TREE OIL
GLEEVEC,24061,91996,DIAL CANADA INC
ANTHIM,24062,65041,NUTRIBUILD CORPORATION
REQUIP XL,24063,58096,ETS INC.
MAYZENT,24064,19527,WHALEDENT
ANTACID FLAVOR CHEWS,24065,31503,PEP PRODUCTS INC.
ADOPTAPLATOON,24066,15584,GLOSSIER INC
EQUALINE ANTIBIOTIC,24067,33532,MAURER AND WIRTZ
HELIUM OXYGEN,24068,40292,HUNAN TRADITIONAL CHINESE MED.PHARM.PL.
SEPTRA GRAPE,24069,61458,ORION CORPORATION
TOPICLEAR XTRA BEAUTY,24070,72425,ROSS CHEMPHARMA INC.
WHITE PINE,24071,47224,SOLVAY ANIMAL HEALTH INC.
SPINY PIGWEED,24072,96372,FENWAL INC
HELMIN,24073,8552,APTALIS PHARMA CANADA ULC
TREATMENT SET TS336924,24074,36293,DONOVAN INDUSTRIES INC.
FAPP MIXTURE,24075,66911,MEGALAB INC.
NAVI MATE GOLD,24076,36643,WILDLIFE PHARMACEUTICALS CANADA INC.
ADAGEN,24077,21767,NUCARE INTERNATIONAL
SEPTOCAINE,24078,49430,RX VITAMINS INC.
NOEVIR N5,24079,51808,NATIONAL SANITATION AND SUPPLY CO. LTD.
NAUS-EAZE,24080,35501,EMERSON DIRECT INC.
ORTHO-NOVUM 10/11-28,24081,14581,VALNEVA AUSTRIA GMBH
ZODRYL DEC 40,24082,33331,GILLETTE CANADA COMPANY
PRIFTIN,24083,13862,WAYMADE PLC
BONOGEN ACTIVATOR,24084,14072,K-G PACKAGING INC.
HAND SANITIZER ORANGE,24085,99399,ARVIDIS INC.
AMMONIACUM GUMMI,24086,33124,BAVARIAN NORDIC AS
BELIX,24087,37685,AU NATUREL INC.
RHEUMA,24088,83397,PENATEN GMBH
HYDROXOMIN,24089,36380,CCL INDUSTRIES INC.
LES BEIGES,24090,62787,J.L. FREEMAN S.E.C.
COMMON SAGEBRUSH,24091,80580,TAHITIAN NONI INTERNATIONAL INC.
MANTECA MASLAC,24092,33725,ARROW INTERNATIONAL INC.
CARTICEL,24093,59477,ITW PERMATEX CANADA
BLISTEX LIP MEDEX,24094,38871,INOPAK LTD.
EMBEDA,24095,85,DUBOIS CHEMICALS CANADA INC.
XELJANZ,24096,10461,KOLMAR CANADA INC.
METHERGINE,24097,65472,TERRAPIN OUTDOOR SYSTEMS INC.
CARNITOR,24098,47087,KAM SCIENTIFIC INC.
OLIVENE,24099,23679,HAMILTON LABORATORIES
PLENDIL,24100,75897,HAIN PURE FOOD CO INC.
ARZE-JECT-A,24101,94821,BRIDCO C/O BRIDCO VALUES LTD.
DAYTRANA,24102,56156,HOLLISTER LIMITED
STRIVERDI RESPIMAT,24103,65379,HEALTH & HOMEOPATHY SHOP
MISSHA M WATERY B.B,24104,29786,VET A MIX INC.
MAVYRET,24105,84533,HOBE LABORATORIES INC.
CLINDESSE,24106,92985,JUPITER CONSUMER PRODUCTS LTD.
YAM DOUBLE CARE FLUID,24107,54695,KABI VITRUM  CANADA INC.
ATTENTION AND FOCUS,24108,1585,TRIPOD FAMILY FOOT CARE CENTRES INC.
RIOMET ER,24109,43900,STAR PHARMACEUTICALS INC.
HAND SANITIZER GRAPE,24110,80380,THIBIANT INTERNATIONAL INCORPORATED
TOPIRAMATE,24111,44167,CASSENNE INC.
DERMACEN PROTECTANT,24112,76401,GERBER PRODUCTS COMPANY
8 SOUTHERN GRASS MIX,24113,45402,DELITEFUL FOODS INC.
DIASTAT,24114,96532,SCHERNAL PHARMAZEUTISCHE PRAPARATE
POVIDONE-IODINE PAD,24115,80201,LEVER BROTHERS LTD.
CMC ZINC OXIDE,24116,85124,TEW NUTRICEUTICALS INC.
ALLER EASE,24117,80294,DONMAR HEALTH AND BEAUTY PRODUCTS
IGNATIA AMARA,24118,11440,PLOUGH CANADA INC.
VERSAPEN-K,24119,53070,VALLEY OF THE SUN INTERNATIONAL
ARNICA PLUS DROPS,24120,42045,ELIZABETH ARDEN (CANADA) LIMITED
SYMBIO CERE DROPS,24121,366,QD PHARMACEUTICALS ULC
KELNOR,24122,58119,LUSTYS NATURAL PRODUCTS LTD.
BROVANA,24123,45012,CROWN CHEMICAL PRODUCTS INC.
PLEO PIN,24124,7937,RUBBERMAID COMMERCIAL PRODUCTS LLC
